S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2"
256,SHARJAH,JAIPUR,14967,13606,0.0,16.4
257,SHARJAH,KOCHI,49414,48528,82.8,709.0
258,SHARJAH,KOZHIKODE,50847,47526,106.4,875.4
259,SHARJAH,LUCKNOW,15537,12810,0.0,269.6
260,SHARJAH,MUMBAI,36667,35660,10.7,504.6
261,SHARJAH,TIRUCHIRAPALLY,13900,12293,0.8,113.0
262,SHARJAH,TRIVANDRUM,54688,55192,2.4,785.6
263,SHARJAH,KANNUR,15434,15019,0.3,170.9
264,SHARJAH,VIJAYAWADA,2736,0,0.0,0.0
265,SHARJAH,VARANASI,13142,12613,0.5,34.8
266,SHARJAH,SURAT,2802,3713,0.0,0.0
267,SHARJAH,CHANDIGARH,2902,3601,0.0,0.0
268,SHARJAH,NAGPUR,4179,3632,0.0,15.1
269,SHENZHEN,DELHI,0,0,6410.2,1132.2
270,SINGAPORE,AHMEDABAD,11509,15047,364.7,0.0
271,SINGAPORE,AMRITSAR,10786,16940,0.0,27.5
272,SINGAPORE,BENGALURU,33205,32776,1376.0,1396.1
273,SINGAPORE,CHENNAI,68237,72380,1568.7,2154.7
274,SINGAPORE,COIMBATORE,10843,11083,0.0,30.6
275,SINGAPORE,DELHI,71862,87387,2184.5,1807.8
276,SINGAPORE,HYDERABAD,25483,25084,48.0,86.3
277,SINGAPORE,KOCHI,13277,13233,5.3,90.7
278,SINGAPORE,KOLKATA,18694,21567,24.0,272.8
279,SINGAPORE,MUMBAI,70046,82604,2644.6,2201.7
280,SINGAPORE,TIRUCHIRAPALLY,46432,48831,0.4,423.1
281,SINGAPORE,TRIVANDRUM,15428,14143,0.0,0.0
282,SINGAPORE,MADURAI,3393,3564,0.0,73.6
283,SINGAPORE,VISAKHAPATNAM,6646,6904,0.0,1.0
284,SYDNEY,DELHI,15693,21421,277.4,484.5
285,TAIPAE,DELHI,0,0,528.1,174.9
286,TASHKENT,BENGALURU,0,0,0.9,0.0
287,TASHKENT,DELHI,8066,6423,68.9,354.3
288,TEHRAN,DELHI,2862,2301,31.4,246.5
289,TEHRAN,MUMBAI,1262,1602,0.5,22.4
290,TELAVIV,DELHI,5613,6708,204.1,232.1
291,TOKYO,DELHI,7337,14535,1177.5,1309.9
292,TORONTO,DELHI,49337,58485,739.0,843.4
293,VANCOUVER,DELHI,15258,22757,86.0,156.8
294,WARSAW,DELHI,8128,13718,377.5,880.4
295,"WASHINGTON, DC",DELHI,8173,7606,42.2,58.8
296,ZURICH,DELHI,5980,8753,434.7,551.8
297,ZURICH,MUMBAI,9769,11496,910.0,869.5
