S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
77,AMRITSAR,CHANDIGARH,223,46,4.9,0.0,0.0,0.0
78,BHUBANESWAR,RANCHI,610,529,0.0,0.3,0.0,0.0
79,BHUBANESWAR,VARANASI,"1,525","1,527",0.0,0.0,0.0,0.0
80,BAREILLY,BENGALURU,"1,985","1,683",0.0,0.3,0.0,0.0
81,BAREILLY,DELHI,"1,624","1,281",0.0,0.0,0.0,0.0
82,BAREILLY,MUMBAI,"2,306","2,308",0.0,0.2,0.0,0.0
83,BHUJ,MUMBAI,"1,007","1,010",0.0,0.1,0.0,0.0
84,BHOPAL,DELHI,"18,526","17,395",13.2,111.8,13.2,12.3
85,BHOPAL,HYDERABAD,"1,921","1,857",0.0,0.6,1.0,0.7
86,BHOPAL,KOCHI,667,655,0.2,0.0,0.4,0.0
87,BHOPAL,MUMBAI,"13,248","11,887",6.5,64.7,2.6,18.9
88,BHOPAL,PUNE,"1,242","1,198",0.0,0.0,0.0,0.0
89,BHOPAL,RAIPUR,"2,056","1,827",0.0,0.0,1.0,0.0
90,BHAVNAGAR,MUMBAI,"2,131","2,230",0.0,4.1,0.0,0.0
91,BHAVNAGAR,PUNE,"1,203","1,301",4.0,0.0,0.0,0.0
92,BIKANER,DELHI,"1,265","1,342",0.0,0.0,0.0,0.0
93,BENGALURU,BHOPAL,"4,061","4,470",19.4,8.1,2.2,1.9
94,BENGALURU,BHUBANESWAR,"18,208","20,930",99.4,48.8,13.4,4.6
95,BENGALURU,"BIDAR AIRPORT, KARNATAKA",677,689,0.0,0.0,0.0,0.0
96,BAGDOGRA,GUWAHATI,51,30,0.1,1.2,0.0,0.0
97,BENGALURU,CHANDIGARH,"15,953","14,988",101.6,157.3,10.3,1.8
98,BENGALURU,CHENNAI,"31,602","33,185",588.7,505.0,15.9,21.0
99,BENGALURU,COIMBATORE,"12,176","13,447",23.6,36.7,0.0,0.0
100,BENGALURU,DABOLIM,"39,142","39,947",21.1,84.3,1.3,1.7
101,BENGALURU,DARBHANGA,"4,781","5,163",56.9,20.3,0.0,0.0
102,BENGALURU,DEHRA DUN,"4,833","4,660",2.4,24.0,2.3,0.2
103,BENGALURU,DELHI,"172,791","174,710","2,003.3","2,373.0",39.7,32.3
104,BENGALURU,DIMAPUR,"1,135",720,1.5,1.1,0.0,0.0
105,BENGALURU,DURGAPUR,"4,091","5,157",35.9,4.3,0.0,0.0
106,BENGALURU,GORAKHPUR,"1,263","1,190",0.6,0.0,0.0,0.0
107,BENGALURU,GUWAHATI,"13,960","18,083",138.0,57.8,15.6,4.7
108,BENGALURU,GWALIOR,"2,316","2,273",2.3,2.7,0.0,0.0
109,BENGALURU,HUBLI,"4,845","4,949",0.6,0.0,1.0,1.5
110,BENGALURU,HYDERABAD,"61,089","63,541",122.1,176.0,24.7,30.4
111,BENGALURU,IMPHAL,515,557,3.8,60.3,0.0,0.0
112,BENGALURU,INDORE,"13,704","14,174",76.2,59.0,5.3,2.0
113,BENGALURU,JABALPUR,"1,864","1,939",6.1,2.1,0.0,0.0
114,BENGALURU,JAIPUR,"20,985","21,622",86.8,175.1,6.1,3.6
115,BENGALURU,JAMMU,506,548,0.0,0.2,0.0,0.0
116,BENGALURU,JAMNAGAR,467,490,0.0,0.0,0.0,0.0
117,BENGALURU,JHARSUGUDA,217,310,0.0,0.0,0.0,0.0
118,BENGALURU,JODHPUR,"2,893","3,160",0.2,0.0,1.2,0.0
119,BENGALURU,JORHAT,826,630,0.3,1.5,0.0,0.0
120,BENGALURU,KADAPA,281,341,0.1,0.0,0.0,0.0
121,BENGALURU,"KALABURAGI, KARNATAKA","2,973","2,828",0.0,0.0,0.0,0.0
122,BENGALURU,KANNUR,"3,859","4,326",2.9,1.1,0.0,0.0
123,BENGALURU,KANPUR,"2,130","2,244",0.3,0.0,0.0,0.0
124,BENGALURU,KOCHI,"51,480","49,574",121.8,53.1,14.5,8.1
125,BENGALURU,KOLHAPUR,671,612,0.0,0.0,0.0,0.0
126,BENGALURU,KOLKATA,"64,156","68,274",627.4,522.9,19.7,19.3
127,BENGALURU,KOZHIKODE,"4,435","4,511",6.5,0.0,1.7,0.0
128,BENGALURU,KURNOOL,365,496,0.1,0.0,0.0,0.0
129,BENGALURU,LUCKNOW,"19,420","22,802",95.0,110.6,16.3,2.1
130,BENGALURU,MADURAI,"6,149","6,442",0.9,8.5,3.6,0.7
131,BENGALURU,MANGALORE,"20,345","19,432",14.7,2.0,6.1,95.3
132,BENGALURU,MUMBAI,"135,172","132,193","1,066.0","1,388.7",16.8,40.2
133,BENGALURU,MYSORE,392,777,1.1,0.0,0.0,0.0
134,BENGALURU,NAGPUR,"12,234","12,169",84.4,24.1,4.6,2.4
135,BENGALURU,PATNA,"16,800","18,383",123.3,41.5,11.0,4.3
136,BENGALURU,PONDICHERRY,"1,131","1,303",0.0,0.0,0.0,0.0
137,BENGALURU,PORT BLAIR,"5,095","4,422",32.0,15.9,1.6,0.0
138,BENGALURU,PUNE,"56,104","57,626",237.2,199.2,9.9,1.7
139,BENGALURU,RAIPUR,"9,941","9,923",27.0,4.5,4.2,2.7
140,BENGALURU,RAJAHMUNDRY,"3,480","3,974",0.1,0.0,0.0,0.0
141,BENGALURU,RAJKOT,"4,231","4,352",9.6,7.1,0.0,0.0
142,BENGALURU,RANCHI,"13,767","16,691",45.1,25.6,5.2,3.1
143,BENGALURU,SHIRDI,"6,332","6,331",1.4,0.3,0.0,0.2
144,BENGALURU,SRINAGAR,"1,195","1,387",0.5,2.9,0.0,0.0
145,BENGALURU,SURAT,"5,247","5,152",33.1,29.6,1.3,1.9
146,BENGALURU,TIRUCHIRAPALLY,"4,111","3,795",0.8,0.0,0.8,0.0
147,BENGALURU,TIRUPATI,"2,306","2,331",0.1,0.0,0.4,0.0
148,BENGALURU,TRIVANDRUM,"15,768","16,002",22.1,3.3,3.9,5.0
149,BENGALURU,TUTICORIN,"2,133","1,975",0.1,0.0,0.0,0.0
150,BENGALURU,UDAIPUR,"2,077","1,965",0.3,0.7,0.0,0.0
151,BENGALURU,VADODARA,"5,676","5,415",12.2,6.9,3.7,0.6
152,BENGALURU,VARANASI,"9,514","11,005",47.2,72.5,7.1,0.2
153,BENGALURU,VIJAYAWADA,"9,028","10,010",5.1,2.8,6.3,0.9
154,BENGALURU,VISAKHAPATNAM,"17,465","20,398",62.4,48.7,8.1,1.2
155,MUMBAI,NAGPUR,"29,337","31,259",182.0,121.6,34.6,1.0
156,MUMBAI,PATNA,"15,625","17,932",184.1,17.4,13.1,4.5
157,MUMBAI,PORBANDAR,957,785,0.0,0.0,0.0,0.0
158,MUMBAI,PORT BLAIR,25,-,0.0,-,0.0,-
159,MUMBAI,RAIPUR,"15,540","15,863",108.2,28.6,13.8,0.4
160,MUMBAI,RAJKOT,"13,146","13,858",13.8,9.2,7.4,0.0
161,MUMBAI,RANCHI,"11,394","13,450",66.9,19.0,18.8,4.0
162,MUMBAI,SILCHAR,13,17,0.0,0.0,0.0,0.0
163,MUMBAI,SRINAGAR,"9,915","18,864",25.1,56.4,1.7,1.5
164,MUMBAI,SURAT,"1,623","1,783",3.4,14.6,0.0,0.0
165,MUMBAI,TIRUPATI,"1,117",877,0.3,0.0,0.0,0.0
166,MUMBAI,TRIVANDRUM,"12,911","14,756",22.3,0.7,3.2,4.1
167,MUMBAI,UDAIPUR,"18,764","19,841",8.2,0.9,0.0,0.0
168,MUMBAI,VADODARA,"16,514","17,811",15.5,28.1,7.6,2.3
169,MUMBAI,VARANASI,"19,904","20,559",61.2,16.3,6.8,1.2
170,MUMBAI,VISAKHAPATNAM,"6,763","8,649",10.7,9.1,3.7,0.0
