S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
77,AMRITSAR,HYDERABAD,168,233,0.0,0.3,0.0,0.0
78,AMRITSAR,JAIPUR,"1,132","1,211",0.1,0.0,0.0,0.0
79,AMRITSAR,JAMMU,-,145,-,0.0,-,0.0
80,AMRITSAR,KOLKATA,"4,801","4,781",0.7,7.5,0.0,0.0
81,AMRITSAR,LUCKNOW,"1,071","1,306",0.0,0.1,0.0,0.0
82,AMRITSAR,MUMBAI,"18,004","18,758",18.6,19.4,0.0,0.2
83,AMRITSAR,PATNA,"1,553","1,676",1.2,0.2,0.0,0.0
84,AMRITSAR,PUNE,"4,189","5,074",2.6,1.8,0.0,0.1
85,AMRITSAR,RAJKOT,-,86,-,0.0,-,0.0
86,AMRITSAR,SRINAGAR,"11,774","8,165",0.0,3.5,0.0,0.5
87,AURANGABAD,DELHI,"8,414","8,765",22.4,47.6,0.2,0.1
88,AURANGABAD,HYDERABAD,"2,165","2,076",0.0,0.2,0.0,0.0
89,AURANGABAD,MUMBAI,"7,311","6,547",2.2,3.8,0.3,5.2
90,BAGDOGRA,BENGALURU,"16,586","16,003",93.2,90.7,1.0,4.5
91,BAGDOGRA,CHENNAI,"10,548","9,965",32.0,6.0,1.3,0.2
92,BAGDOGRA,DELHI,"43,864","49,161",143.0,241.6,2.8,3.9
93,BAGDOGRA,DIBRUGARH,"1,936","1,316",0.0,0.0,0.0,0.0
94,BAGDOGRA,GUWAHATI,"3,229",-,87.1,-,0.0,-
95,BAGDOGRA,HYDERABAD,"5,621","5,788",28.1,10.2,0.0,0.0
96,BAGDOGRA,KOLKATA,"34,223","33,584",105.7,39.7,13.5,16.7
97,BAGDOGRA,MUMBAI,"16,231","16,417",88.0,66.4,0.0,2.0
98,BAREILLY,BENGALURU,"3,049","2,568",0.0,0.2,0.0,0.0
99,BAREILLY,DELHI,"1,624","1,281",0.0,0.0,0.0,0.0
100,BAREILLY,MUMBAI,"3,257","3,070",0.0,0.1,0.0,0.0
101,BELGAUM,BENGALURU,"2,228","1,999",0.3,0.3,0.0,0.0
102,BELGAUM,DELHI,"5,030","4,781",0.0,0.2,0.0,0.0
103,BELGAUM,HYDERABAD,"4,136","3,951",5.1,3.2,0.0,0.0
104,BELGAUM,INDORE,563,580,0.0,0.0,0.0,0.0
105,BELGAUM,JODHPUR,598,597,0.0,0.0,0.0,0.0
106,BELGAUM,MUMBAI,"3,241","3,250",3.2,5.6,0.0,0.0
107,BELGAUM,NAGPUR,351,380,0.0,0.0,0.0,0.0
108,BELGAUM,NASIK,473,489,0.0,0.0,0.0,0.0
109,BELGAUM,PUNE,731,761,0.0,0.0,0.0,0.0
110,BELGAUM,SURAT,501,543,0.0,0.0,0.0,0.0
111,BELGAUM,TIRUPATI,587,504,0.0,0.0,0.0,0.0
112,BENGALURU,BHOPAL,"4,007","4,652",19.7,5.3,4.9,1.8
113,BENGALURU,BHUBANESWAR,"18,388","25,657",90.1,17.8,16.1,3.6
114,BENGALURU,CHANDIGARH,"16,953","18,718",127.8,283.5,9.3,1.1
115,BENGALURU,CHENNAI,"31,665","36,558",535.1,362.4,17.7,19.6
