S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
78,AMRITSAR,JAIPUR,"1,731","1,582",0.0,0.8,0.0,0.0
79,AMRITSAR,JAISALMER,-,90,-,0.0,-,0.0
80,AMRITSAR,JAMMU,-,201,-,0.0,-,0.0
81,AMRITSAR,KOLKATA,"4,242","4,380",2.2,5.7,0.0,0.0
82,AMRITSAR,LUCKNOW,250,204,0.2,0.0,0.0,0.0
83,AMRITSAR,MUMBAI,"16,992","16,669",3.0,13.9,0.0,0.6
84,AMRITSAR,NANDED,490,436,0.0,0.0,0.0,0.0
85,AMRITSAR,PATNA,"1,582","1,567",0.5,0.2,0.0,0.0
86,AMRITSAR,PUNE,"1,965","2,046",0.2,0.2,0.0,0.0
87,AMRITSAR,SRINAGAR,"5,451","4,566",0.3,1.4,0.0,0.5
88,AURANGABAD,DELHI,"7,090","6,694",15.4,51.9,0.3,0.0
89,AURANGABAD,HYDERABAD,"2,277","2,088",0.3,0.1,0.0,0.0
90,AURANGABAD,MUMBAI,"6,108","6,461",2.6,0.5,0.3,5.3
91,BAGDOGRA,BENGALURU,"15,294","13,654",66.3,48.8,0.0,3.5
92,BAGDOGRA,BHUBANESWAR,-,140,-,0.0,-,0.0
93,BAGDOGRA,CHENNAI,"3,326","2,914",5.5,1.0,0.7,0.3
94,BAGDOGRA,DELHI,"48,792","47,168",99.7,253.5,2.5,6.7
95,BAGDOGRA,DIBRUGARH,"3,091","2,935",0.2,0.1,0.0,0.0
96,BAGDOGRA,GUWAHATI,"1,990",-,0.4,-,0.0,-
97,BAGDOGRA,HYDERABAD,"5,337","5,428",14.7,13.8,0.0,0.0
98,BAGDOGRA,JAIPUR,"2,466","2,068",1.1,1.3,0.0,0.0
99,BAGDOGRA,KOLKATA,"33,503","33,867",69.1,83.9,10.6,16.5
100,BAGDOGRA,MUMBAI,"9,988","9,204",36.5,60.2,0.0,1.5
101,BAREILLY,BENGALURU,"3,248","3,079",0.0,0.4,0.0,0.0
102,BAREILLY,DELHI,"1,714","1,447",0.0,0.0,0.0,0.0
