S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
77,BAREILLY,BENGALURU,"1,539","1,830",0.0,0.3,0.0,0.0
78,BAREILLY,DELHI,"1,634","1,376",0.0,0.0,0.0,0.0
79,BAREILLY,MUMBAI,"1,882","2,151",0.0,0.1,0.0,0.0
80,BHUJ,MUMBAI,"1,091","1,128",0.0,0.0,0.0,0.0
81,BHOPAL,DELHI,"18,470","17,390",13.6,101.8,15.3,8.5
82,BHOPAL,HYDERABAD,"2,089","2,099",0.0,0.7,0.7,0.5
83,BHOPAL,INDORE,107,-,0.0,-,0.0,-
84,BHOPAL,KOCHI,635,687,0.2,0.0,0.4,0.0
85,BHOPAL,MUMBAI,"12,693","12,117",7.4,59.5,2.8,19.5
86,BHOPAL,RAIPUR,"1,879","1,835",0.0,0.0,1.1,0.0
87,BHAVNAGAR,MUMBAI,"1,763","1,951",0.0,5.4,0.0,0.0
88,BHAVNAGAR,PUNE,"1,020",896,5.4,0.0,0.0,0.0
89,BIKANER,DELHI,"1,237","1,359",0.0,0.0,0.0,0.0
90,BENGALURU,BHOPAL,"3,620","3,358",17.1,3.5,1.3,2.1
91,BENGALURU,BHUBANESWAR,"22,358","20,292",105.0,28.4,10.5,3.6
92,BENGALURU,"BIDAR AIRPORT, KARNATAKA",586,607,0.0,0.0,0.0,0.0
93,BENGALURU,CHANDIGARH,"15,394","11,613",109.9,12.4,8.8,0.0
94,BENGALURU,CHENNAI,"39,744","42,099",662.0,525.3,13.1,25.4
95,BENGALURU,COIMBATORE,"8,744","9,899",12.4,32.2,0.0,0.0
96,BAGDOGRA,RANCHI,31,41,0.0,0.0,0.0,0.0
97,BAGDOGRA,SILCHAR,133,-,0.4,-,0.0,-
98,BENGALURU,DABOLIM,"42,082","40,137",26.2,103.2,1.2,1.3
99,BENGALURU,DARBHANGA,"5,006","3,872",23.1,21.1,0.0,0.0
100,BENGALURU,DEHRA DUN,"5,163","4,495",2.8,35.7,2.5,0.2
101,BENGALURU,DELHI,"175,630","159,677","2,033.8","2,605.1",35.9,34.4
102,BENGALURU,DIMAPUR,918,492,1.6,8.0,0.0,0.0
103,BENGALURU,DURGAPUR,"4,133","3,797",30.4,0.5,0.0,0.0
104,BENGALURU,GORAKHPUR,953,960,0.5,0.0,0.0,0.0
105,BENGALURU,GUWAHATI,"14,738","12,999",133.6,69.7,12.6,4.4
106,BENGALURU,GWALIOR,"1,541","1,334",3.5,1.6,0.0,0.0
107,BENGALURU,HUBLI,"4,743","4,931",0.8,0.3,0.8,1.4
108,BENGALURU,HYDERABAD,"65,318","64,654",145.6,171.1,17.1,25.5
109,BENGALURU,IMPHAL,208,298,2.6,50.9,0.0,0.0
110,BENGALURU,INDORE,"12,761","11,789",59.7,48.1,3.6,1.2
111,BENGALURU,JABALPUR,"1,730","1,520",7.0,0.7,0.0,0.0
112,BENGALURU,JAIPUR,"19,958","17,993",92.1,202.1,5.1,2.4
113,BENGALURU,JAMMU,425,308,0.3,0.0,0.0,0.0
114,BENGALURU,JAMNAGAR,456,334,0.0,0.0,0.0,0.0
115,BENGALURU,JODHPUR,"4,500","4,328",1.5,0.2,2.3,0.0
