S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
139,BENGALURU,RAIPUR,91,91,182
140,BENGALURU,RAJAHMUNDRY,32,37,69
141,BENGALURU,RAJKOT,39,40,79
142,BENGALURU,RANCHI,126,152,278
143,BENGALURU,SHIRDI,58,58,116
144,BENGALURU,SRINAGAR,11,13,24
145,BENGALURU,SURAT,48,47,95
146,BENGALURU,TIRUCHIRAPALLY,38,35,73
147,BENGALURU,TIRUPATI,21,22,43
148,BENGALURU,TRIVANDRUM,144,146,290
149,BENGALURU,TUTICORIN,20,18,38
150,BENGALURU,UDAIPUR,19,18,37
151,BENGALURU,VADODARA,52,50,102
152,BENGALURU,VARANASI,87,101,188
153,BENGALURU,VIJAYAWADA,83,92,175
154,BENGALURU,VISAKHAPATNAM,159,186,345
155,MUMBAI,NAGPUR,267,285,552
156,MUMBAI,PATNA,143,164,307
157,MUMBAI,PORBANDAR,9,8,17
159,MUMBAI,RAIPUR,142,145,287
160,MUMBAI,RAJKOT,120,126,246
161,MUMBAI,RANCHI,104,123,227
162,MUMBAI,SILCHAR,1,1,2
163,MUMBAI,SRINAGAR,91,172,263
164,MUMBAI,SURAT,15,17,32
165,MUMBAI,TIRUPATI,11,8,19
166,MUMBAI,TRIVANDRUM,118,135,253
167,MUMBAI,UDAIPUR,171,181,352
168,MUMBAI,VADODARA,151,162,313
169,MUMBAI,VARANASI,181,187,368
170,MUMBAI,VISAKHAPATNAM,62,79,141
171,MUMBAI,Sindhudurg Airport,16,16,32
172,KOZHIKODE,MUMBAI,68,63,131
173,KOLKATA,LILABARI,9,9,18
174,KOLKATA,LUCKNOW,77,74,151
175,KOLKATA,MANGALORE,4,4,8
176,KOLKATA,MUMBAI,609,562,1171
177,KOLKATA,NAGPUR,33,31,64
179,KOLKATA,PATNA,75,87,162
180,KOLKATA,PORT BLAIR,135,111,246
181,KOLKATA,PUNE,111,105,216
182,KOLKATA,RAIPUR,78,77,155
183,KOLKATA,RANCHI,52,52,104
184,KOLKATA,RUPSI,10,11,21
185,KOLKATA,SHILLONG,15,14,29
186,KOLKATA,SILCHAR,72,81,153
187,KOLKATA,SRINAGAR,11,11,22
188,KOLKATA,SURAT,54,47,101
190,KOLKATA,TRIVANDRUM,7,4,11
191,KOLKATA,UDAIPUR,6,4,10
192,KOLKATA,VARANASI,37,47,84
193,KOLKATA,VISAKHAPATNAM,43,43,86
194,KADAPA,VIJAYAWADA,3,2,5
195,KADAPA,VISAKHAPATNAM,6,5,11
196,COIMBATORE,DELHI,139,139,278
197,COIMBATORE,GUWAHATI,4,2,6
198,COIMBATORE,HYDERABAD,161,158,319
199,COIMBATORE,JAIPUR,5,4,9
201,COIMBATORE,MUMBAI,173,163,336
203,COIMBATORE,SURAT,7,7,14
204,COIMBATORE,TIRUPATI,4,6,10
206,KANNUR,KOCHI,19,18,37
207,KANNUR,KOZHIKODE,1,1,2
208,KANNUR,MUMBAI,47,54,101
209,KANNUR,TRIVANDRUM,17,18,35
210,KOCHI,KOLKATA,22,28,50
211,KOCHI,MUMBAI,311,275,586
212,KOCHI,MYSORE,8,8,16
213,KOCHI,PUNE,43,41,84
214,KOCHI,RANCHI,3,3,6
215,KOCHI,TRIVANDRUM,19,19,38
216,DARBHANGA,DELHI,52,49,101
217,DARBHANGA,HYDERABAD,39,30,69
218,DARBHANGA,KOLKATA,20,15,35
219,DARBHANGA,MUMBAI,44,37,81
220,DEHRA DUN,DELHI,212,207,419
221,DEHRA DUN,GUWAHATI,6,1,7
222,DEHRA DUN,HYDERABAD,34,33,67
223,DEHRA DUN,JAIPUR,26,19,45
224,DEHRA DUN,KOLKATA,14,13,27
225,DEHRA DUN,LUCKNOW,27,31,58
226,DEHRA DUN,MUMBAI,88,103,191
227,DEHRA DUN,PANTNAGAR,7,8,15
228,DEHRA DUN,PUNE,9,10,19
229,DEHRA DUN,VARANASI,9,10,19
230,DELHI,DHARAMSALA,51,43,94
231,DELHI,DIBRUGARH,80,77,157
232,DELHI,DIMAPUR,24,26,50
233,DELHI,DURGAPUR,39,46,85
234,DELHI,GAYA,31,34,65
235,DELHI,GORAKHPUR,92,105,197
236,DELHI,GUWAHATI,494,505,999
237,DELHI,GWALIOR,20,22,42
238,DELHI,HYDERABAD,971,1051,2022
239,DELHI,IMPHAL,77,80,157
240,DELHI,INDORE,249,245,494
241,DELHI,JABALPUR,57,55,112
242,DELHI,JAGDALPUR,3,3,6
243,DELHI,JAIPUR,229,201,430
244,DELHI,JAMMU,284,306,590
245,DELHI,JHARSUGUDA,28,29,57
246,DELHI,JODHPUR,71,70,141
247,DELHI,JORHAT,7,7,14
248,DELHI,KANDLA,11,11,22
249,DELHI,KANNUR,11,15,26
250,DELHI,KANPUR,15,16,31
251,DELHI,KHAJURAHO,5,5,10
252,DELHI,KOCHI,322,318,640
253,DELHI,KOLKATA,902,922,1824
254,DELHI,KOZHIKODE,75,77,152
255,DELHI,KULLU,8,3,11
256,DELHI,LEH,479,499,978
257,DELHI,LUCKNOW,448,493,941
258,DELHI,MADURAI,31,30,61
259,DELHI,MANGALORE,21,17,38
260,DELHI,MUMBAI,1940,1854,3794
261,DELHI,NAGPUR,181,176,357
262,DELHI,NASIK,31,31,62
263,DELHI,PANTNAGAR,17,18,35
264,DELHI,PATHANKOT,6,6,12
265,DELHI,PATNA,533,545,1078
266,DELHI,PORBANDAR,1,1,2
267,DELHI,PORT BLAIR,36,32,68
268,DELHI,PUNE,920,855,1775
269,DELHI,RAIPUR,249,251,500
270,DELHI,RAJKOT,112,113,225
271,DELHI,RANCHI,279,287,566
272,DELHI,SHIRDI,91,88,179
273,DELHI,SILCHAR,18,19,37
274,DELHI,SRINAGAR,884,966,1850
275,DELHI,SURAT,165,161,326
276,DELHI,TIRUCHIRAPALLY,12,10,22
277,DELHI,TIRUPATI,29,22,51
278,DELHI,TRIVANDRUM,88,90,178
279,DELHI,UDAIPUR,150,157,307
280,DELHI,VADODARA,142,144,286
281,DELHI,VARANASI,218,223,441
282,DELHI,VIJAYAWADA,84,92,176
283,DELHI,VISAKHAPATNAM,152,174,326
284,DELHI,Kushinagar International Airport,6,7,13
286,DIBRUGARH,DIMAPUR,2,1,3
287,DIBRUGARH,GUWAHATI,17,12,29
289,DIBRUGARH,IMPHAL,7,8,15
290,DIBRUGARH,KOLKATA,91,82,173
291,DIBRUGARH,MUMBAI,3,6,9
292,DIBRUGARH,SHILLONG,2,2,4
293,DIU,MUMBAI,17,16,33
294,DIMAPUR,GUWAHATI,9,8,17
295,DIMAPUR,IMPHAL,10,11,21
296,DIMAPUR,KOLKATA,51,41,92
297,DIMAPUR,MUMBAI,2,2,4
298,DIMAPUR,SHILLONG,3,4,7
299,GUWAHATI,HYDERABAD,53,48,101
300,GUWAHATI,IMPHAL,140,162,302
301,GUWAHATI,JAIPUR,41,41,82
302,GUWAHATI,JODHPUR,1,2,3
303,GUWAHATI,JORHAT,13,17,30
304,GUWAHATI,KOLKATA,274,287,561
305,GUWAHATI,LUCKNOW,31,23,54
306,GUWAHATI,MUMBAI,123,97,220
307,GUWAHATI,PASIGHAT,4,4,8
308,GUWAHATI,PATNA,36,41,77
310,GUWAHATI,RUPSI,7,6,13
311,GUWAHATI,SHILLONG,2,1,3
312,GUWAHATI,SILCHAR,27,30,57
313,GUWAHATI,TEZPUR,2,1,3
314,GUWAHATI,TEZU,4,5,9
315,GUWAHATI,VARANASI,2,3,5
316,GAYA,KOLKATA,11,11,22
317,"KALABURAGI, KARNATAKA",TIRUPATI,4,3,7
318,Gondia Airport,HYDERABAD,2,3,5
319,Gondia Airport,INDORE,3,3,6
320,DABOLIM,DELHI,661,653,1314
322,DABOLIM,HYDERABAD,280,277,557
323,DABOLIM,INDORE,31,30,61
324,DABOLIM,JAIPUR,18,19,37
325,DABOLIM,KOLKATA,51,58,109
326,DABOLIM,LUCKNOW,62,66,128
327,DABOLIM,MUMBAI,703,698,1401
328,DABOLIM,MYSORE,12,12,24
330,DABOLIM,PUNE,80,74,154
331,DABOLIM,RAIPUR,11,12,23
332,DABOLIM,RAJKOT,15,15,30
333,DABOLIM,SURAT,45,44,89
334,GORAKHPUR,HYDERABAD,31,30,61
335,DELHI,PAKYONG,7,6,13
336,GORAKHPUR,KOLKATA,20,17,37
337,GORAKHPUR,LUCKNOW,5,4,9
338,GORAKHPUR,MUMBAI,64,59,123
339,GORAKHPUR,VARANASI,3,1,4
340,GWALIOR,HYDERABAD,3,3,6
341,GWALIOR,INDORE,16,17,33
342,GWALIOR,KOLKATA,11,11,22
343,GWALIOR,MUMBAI,4,4,8
