S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
134,BENGALURU,PORT BLAIR,48,46,94
135,BENGALURU,PUNE,517,520,1037
136,BENGALURU,RAIPUR,86,73,159
137,BENGALURU,RAJAHMUNDRY,29,30,59
138,BENGALURU,RAJKOT,36,31,67
139,BENGALURU,RANCHI,158,119,277
140,BENGALURU,SHIRDI,63,58,121
141,BENGALURU,SRINAGAR,8,9,17
142,BENGALURU,SURAT,42,37,79
143,BENGALURU,TIRUCHIRAPALLY,36,35,71
144,BENGALURU,TIRUPATI,19,18,37
145,BENGALURU,TRIVANDRUM,149,152,301
146,BENGALURU,TUTICORIN,18,16,34
147,BENGALURU,UDAIPUR,34,29,63
148,BENGALURU,VADODARA,50,42,92
149,BENGALURU,VARANASI,113,96,209
150,BENGALURU,VIJAYAWADA,65,73,138
151,BENGALURU,VISAKHAPATNAM,139,143,282
152,MUMBAI,NAGPUR,269,298,567
153,MUMBAI,PATNA,188,174,362
154,MUMBAI,PORT BLAIR,1,23,24
155,MUMBAI,PUNE,1,1,2
156,MUMBAI,RAIPUR,150,152,302
157,MUMBAI,RAJKOT,131,124,255
158,MUMBAI,RANCHI,118,111,229
159,MUMBAI,SILCHAR,1,1,2
160,MUMBAI,SRINAGAR,85,145,230
161,MUMBAI,SURAT,13,14,27
162,MUMBAI,TIRUPATI,11,10,21
163,MUMBAI,TRIVANDRUM,119,145,264
164,MUMBAI,UDAIPUR,185,180,365
165,MUMBAI,VADODARA,141,144,285
166,MUMBAI,VARANASI,211,181,392
167,MUMBAI,VISAKHAPATNAM,42,54,96
168,MUMBAI,Sindhudurg Airport,17,16,33
169,KOZHIKODE,MUMBAI,69,58,127
170,KOLKATA,LILABARI,8,9,17
171,KOLKATA,LUCKNOW,94,104,198
172,KOLKATA,MANGALORE,3,3,6
173,KOLKATA,MUMBAI,588,612,1200
174,KOLKATA,NAGPUR,34,38,72
175,KOLKATA,PASIGHAT,22,1,23
176,KOLKATA,PATNA,83,92,175
177,KOLKATA,PORT BLAIR,162,155,317
178,KOLKATA,PUNE,104,121,225
179,KOLKATA,RAIPUR,68,75,143
180,KOLKATA,RANCHI,53,55,108
181,KOLKATA,RUPSI,12,12,24
182,KOLKATA,SHILLONG,15,12,27
183,KOLKATA,SILCHAR,84,85,169
184,KOLKATA,SRINAGAR,8,9,17
185,KOLKATA,SURAT,43,50,93
186,KOLKATA,TEZPUR,22,3,25
187,KOLKATA,TRIVANDRUM,5,5,10
188,KOLKATA,UDAIPUR,4,3,7
189,KOLKATA,VARANASI,38,47,85
190,KOLKATA,VISAKHAPATNAM,41,50,91
191,KADAPA,VIJAYAWADA,3,3,6
192,KADAPA,VISAKHAPATNAM,4,4,8
193,COIMBATORE,DELHI,159,138,297
194,COIMBATORE,GUWAHATI,6,2,8
195,COIMBATORE,HYDERABAD,170,167,337
196,COIMBATORE,JAIPUR,6,3,9
197,COIMBATORE,MANGALORE,22,4,26
198,COIMBATORE,MUMBAI,176,159,335
199,COIMBATORE,PUNE,28,20,48
200,COIMBATORE,SURAT,7,7,14
201,COIMBATORE,TIRUPATI,4,5,9
202,COIMBATORE,VISAKHAPATNAM,22,3,25
203,KANNUR,KOCHI,19,17,36
204,KANNUR,KOZHIKODE,1,2,3
205,KANNUR,MUMBAI,51,49,100
206,KANNUR,TRIVANDRUM,16,18,34
207,CHANDIGARH,JAMMU,1,23,24
208,KOCHI,KOLKATA,25,27,52
209,KOCHI,MUMBAI,320,285,605
210,KOCHI,MYSORE,9,9,18
211,KOCHI,PUNE,37,37,74
212,KOCHI,RANCHI,4,3,7
213,KOCHI,TRIVANDRUM,19,18,37
214,DARBHANGA,DELHI,41,46,87
215,CHANDIGARH,RAIPUR,22,1,23
216,DARBHANGA,HYDERABAD,31,31,62
217,DARBHANGA,KOLKATA,19,14,33
218,DARBHANGA,MUMBAI,32,40,72
219,DEHRA DUN,DELHI,247,263,510
220,DEHRA DUN,GUWAHATI,5,2,7
221,DEHRA DUN,HYDERABAD,37,42,79
222,DEHRA DUN,JAIPUR,19,16,35
223,DEHRA DUN,KOLKATA,15,15,30
224,DEHRA DUN,LUCKNOW,27,33,60
225,DEHRA DUN,MUMBAI,110,136,246
226,DEHRA DUN,PANTNAGAR,9,9,18
227,DEHRA DUN,PUNE,8,10,18
228,DEHRA DUN,VARANASI,10,8,18
229,DELHI,DHARAMSALA,52,44,96
230,DELHI,DIBRUGARH,78,74,152
231,DELHI,DIMAPUR,24,25,49
232,DELHI,DURGAPUR,45,38,83
233,DELHI,GAYA,38,37,75
234,DELHI,GORAKHPUR,111,99,210
235,DELHI,GUWAHATI,527,514,1041
236,DELHI,GWALIOR,24,30,54
237,DELHI,HYDERABAD,900,1007,1907
238,DELHI,IMPHAL,84,81,165
239,DELHI,INDORE,253,254,507
240,DELHI,JABALPUR,49,49,98
241,DELHI,JAGDALPUR,3,4,7
242,DELHI,JAIPUR,219,207,426
243,DELHI,JAMMU,348,347,695
244,DELHI,JHARSUGUDA,23,24,47
245,DELHI,JODHPUR,84,81,165
246,DELHI,JORHAT,7,5,12
247,DELHI,KANDLA,11,10,21
248,DELHI,KANNUR,10,14,24
249,DELHI,KANPUR,15,13,28
250,DELHI,KHAJURAHO,5,4,9
251,DELHI,KOCHI,310,363,673
252,DELHI,KOLKATA,1019,938,1957
253,DELHI,KOZHIKODE,79,86,165
254,DELHI,KULLU,7,4,11
255,CHENNAI,TIRUPATI,1,23,24
256,DELHI,LEH,370,401,771
257,DELHI,LUCKNOW,494,509,1003
258,CHENNAI,UDAIPUR,1,1,2
259,DELHI,MADURAI,27,30,57
260,DELHI,MANGALORE,15,16,31
261,DELHI,MUMBAI,1973,2010,3983
262,DELHI,NAGPUR,159,172,331
263,DELHI,NASIK,25,29,54
264,DELHI,PANTNAGAR,21,21,42
265,DELHI,PATHANKOT,5,6,11
266,DELHI,PATNA,572,519,1091
267,DELHI,PORT BLAIR,43,39,82
268,DELHI,PUNE,871,925,1796
269,DELHI,RAIPUR,253,271,524
