S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
141,ISTANBUL,BENGALURU,1,1,2
142,ISTANBUL,CHENNAI,1,1,2
143,ISTANBUL,DELHI,496,335,831
144,ISTANBUL,HYDERABAD,1,1,2
145,ISTANBUL,MUMBAI,300,235,535
146,JAFFNA,CHENNAI,4,3,7
147,JEDDAH,AHMEDABAD,20,20,40
148,JEDDAH,BENGALURU,86,85,171
149,JEDDAH,CHENNAI,25,20,45
150,JEDDAH,DELHI,498,501,999
151,JEDDAH,HYDERABAD,245,237,482
152,JEDDAH,KANNUR,13,13,26
153,JEDDAH,KOCHI,142,122,264
154,JEDDAH,KOZHIKODE,320,323,643
155,JEDDAH,LUCKNOW,105,107,212
156,JEDDAH,MUMBAI,750,760,1510
157,KABUL,DELHI,1,1,2
158,KABUL,MUMBAI,1,1,2
159,KATHMANDU,DELHI,935,787,1722
160,KATHMANDU,KOLKATA,66,57,123
161,KATHMANDU,MUMBAI,215,146,361
162,KATHMANDU,VARANASI,14,14,28
163,KIGALI,MUMBAI,29,21,50
164,KUALALUMPUR,AMRITSAR,48,45,93
165,KUALALUMPUR,BENGALURU,236,209,445
166,KUALALUMPUR,CHENNAI,610,596,1206
167,KUALALUMPUR,DELHI,460,447,907
168,KUALALUMPUR,HYDERABAD,231,189,420
169,KUALALUMPUR,KOCHI,233,184,417
170,KUALALUMPUR,KOLKATA,181,191,372
171,KUALALUMPUR,MUMBAI,318,296,614
172,KUALALUMPUR,TIRUCHIRAPALLY,361,335,696
173,KUWAIT,AHMEDABAD,192,190,382
174,KUWAIT,BENGALURU,53,47,100
175,KUWAIT,CHENNAI,344,395,739
176,KUWAIT,DELHI,338,332,670
177,KUWAIT,HYDERABAD,151,151,302
178,KUWAIT,KANNUR,56,66,122
179,KUWAIT,KOCHI,263,311,574
180,KUWAIT,KOZHIKODE,48,60,108
181,KUWAIT,MANGALORE,21,22,43
182,KUWAIT,MUMBAI,417,422,839
183,KUWAIT,TIRUCHIRAPALLY,13,22,35
184,KUWAIT,TRIVANDRUM,72,76,148
185,KUWAIT,VIJAYAWADA,8,1,9
186,LEIPZIG,BENGALURU,1,1,2
187,LEIPZIG,DELHI,1,1,2
188,LONDON,AHMEDABAD,105,99,204
189,LONDON,AMRITSAR,81,71,152
190,LONDON,BENGALURU,178,139,317
191,LONDON,CHENNAI,140,120,260
192,LONDON,DELHI,1189,1057,2246
193,LONDON,GOA,86,71,157
194,LONDON,HYDERABAD,232,191,423
195,LONDON,KOCHI,86,72,158
196,LONDON,MUMBAI,919,730,1649
197,LUXEMBOURG,DELHI,1,1,2
198,MALE,BENGALURU,288,263,551
199,MALE,DELHI,137,148,285
200,MALE,KOCHI,160,141,301
201,MALE,MUMBAI,318,344,662
202,MALE,TRIVANDRUM,47,46,93
203,MALPENSA,MUMBAI,1,1,2
204,MELBOURNE,DELHI,286,297,583
205,Milan Bergamo ,AMRITSAR,1,1,2
206,MONTREAL,DELHI,105,96,201
207,MOSCOW,DELHI,153,129,282
208,MUENCHEN,DELHI,219,200,419
209,MUENCHEN,MUMBAI,219,197,416
210,MUSCAT,BENGALURU,106,113,219
211,MUSCAT,CHENNAI,197,206,403
212,MUSCAT,DELHI,275,293,568
213,MUSCAT,GOA,37,34,71
214,MUSCAT,HYDERABAD,238,198,436
215,MUSCAT,JAIPUR,120,92,212
216,MUSCAT,KANNUR,89,92,181
217,MUSCAT,KOCHI,370,404,774
218,MUSCAT,KOZHIKODE,161,198,359
219,MUSCAT,LUCKNOW,239,191,430
220,MUSCAT,MANGALORE,27,25,52
221,MUSCAT,MUMBAI,512,549,1061
222,MUSCAT,TIRUCHIRAPALLY,11,9,20
223,MUSCAT,TRIVANDRUM,201,194,395
224,MUSCAT,VIJAYAWADA,3,3,6
225,NAIROBI,AHMEDABAD,57,39,96
226,NAIROBI,DELHI,26,29,55
227,NAIROBI,MUMBAI,143,124,267
228,NARITA,DELHI,65,76,141
229,NEW YORK,DELHI,485,366,851
230,NEWARK,DELHI,325,292,617
231,NEWARK,MUMBAI,110,84,194
232,PARIS,BENGALURU,213,212,425
233,PARIS,CHENNAI,73,78,151
234,PARIS,DELHI,539,451,990
235,PARIS,MUMBAI,232,227,459
236,PARO,BAGDOGRA,3,3,6
237,PARO,DELHI,49,46,95
238,PARO,GAYA,6,2,8
239,PARO,GUWAHATI,1,2,3
240,PARO,KOLKATA,24,22,46
241,Phu Quoc Island,DELHI,21,31,52
242,PHUKET,BENGALURU,113,130,243
243,PHUKET,DELHI,253,294,547
244,PHUKET,KOLKATA,55,64,119
245,PHUKET,MUMBAI,234,272,506
246,PORT LOUIS,MUMBAI,175,160,335
247,RANGOON,DELHI,5,3,8
248,RANGOON,GAYA,13,11,24
249,RANGOON,KOLKATA,4,4,8
250,RAS AL-KHAIMAH,KOZHIKODE,35,40,75
251,RAS AL-KHAIMAH,MUMBAI,115,126,241
252,REUNION,CHENNAI,16,15,31
253,RIYADH,DELHI,452,471,923
254,RIYADH,HYDERABAD,199,193,392
255,RIYADH,KANNUR,22,31,53
256,RIYADH,KOCHI,145,131,276
257,RIYADH,KOZHIKODE,155,198,353
258,RIYADH,LUCKNOW,131,116,247
259,RIYADH,MUMBAI,276,354,630
260,ROME,AMRITSAR,1,1,2
261,SALALAH,KANNUR,7,1,8
262,SALALAH,KOCHI,10,14,24
263,SALALAH,KOZHIKODE,51,54,105
264,SALALAH,TRIVANDRUM,7,1,8
265,SAN FRANCISCO,BENGALURU,25,24,49
266,SAN FRANCISCO,DELHI,256,229,485
267,SAN FRANCISCO,MUMBAI,18,20,38
268,SEOUL,DELHI,109,116,225
269,SEYCHELLES,MUMBAI,15,18,33
270,SHARJAH,AHMEDABAD,136,128,264
271,SHARJAH,AMRITSAR,155,141,296
272,SHARJAH,BENGALURU,136,131,267
273,SHARJAH,CHANDIGARH,34,31,65
274,SHARJAH,CHENNAI,164,166,330
275,SHARJAH,COIMBATORE,98,94,192
276,SHARJAH,DELHI,386,372,758
277,SHARJAH,GOA,94,74,168
278,SHARJAH,HYDERABAD,291,256,547
279,SHARJAH,JAIPUR,136,130,266
280,SHARJAH,KANNUR,124,121,245
281,SHARJAH,KOCHI,394,397,791
282,SHARJAH,KOZHIKODE,393,394,787
283,SHARJAH,LUCKNOW,145,125,270
284,SHARJAH,MUMBAI,312,302,614
285,SHARJAH,NAGPUR,37,35,72
286,SHARJAH,SURAT,39,38,77
287,SHARJAH,TIRUCHIRAPALLY,110,109,219
288,SHARJAH,TRIVANDRUM,466,487,953
289,SHARJAH,VARANASI,113,113,226
290,SHARJAH,VIJAYAWADA,26,17,43
291,SHENZHEN,BENGALURU,1,1,2
292,SHENZHEN,DELHI,1,1,2
293,SINGAPORE,AHMEDABAD,170,157,327
294,SINGAPORE,AMRITSAR,182,169,351
295,SINGAPORE,BENGALURU,510,440,950
296,SINGAPORE,CHENNAI,939,866,1805
297,SINGAPORE,COIMBATORE,142,122,264
298,SINGAPORE,DELHI,968,905,1873
