S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,ABUDHABI,AHMEDABAD,122,128,250
2,ABUDHABI,CHENNAI,171,171,342
3,ABUDHABI,DELHI,306,331,637
4,ABUDHABI,HYDERABAD,134,156,290
5,ABUDHABI,JAIPUR,11,11,22
6,ABUDHABI,KOCHI,505,503,1008
7,ABUDHABI,KOZHIKODE,282,253,535
8,ABUDHABI,MUMBAI,448,459,907
9,ABUDHABI,TIRUCHIRAPALLY,14,11,25
10,ABUDHABI,TRIVANDRUM,212,188,400
11,ABUDHABI,KANNUR,232,190,422
12,ABUDHABI,MANGALORE,60,47,107
13,ADDIS ABABA,DELHI,145,176,321
14,ADDIS ABABA,MUMBAI,188,213,401
15,ADEN,MUMBAI,21,20,41
16,AL AIN,KOZHIKODE,42,40,82
17,ALMATY,DELHI,47,44,91
18,AMSTERDAM,BENGALURU,50,51,101
19,AMSTERDAM,DELHI,244,254,498
20,AMSTERDAM,MUMBAI,217,229,446
21,BAGHDAD,DELHI,49,47,96
22,BAHRAIN,BENGALURU,52,60,112
23,BAHRAIN,CHENNAI,136,149,285
24,BAHRAIN,DELHI,194,274,468
25,BAHRAIN,HYDERABAD,94,101,195
26,BAHRAIN,KOCHI,170,186,356
27,BAHRAIN,KOZHIKODE,168,195,363
28,BAHRAIN,MUMBAI,126,221,347
29,BAHRAIN,TRIVANDRUM,122,129,251
30,BAHRAIN,KANNUR,17,19,36
31,BAHRAIN,MANGALORE,14,15,29
32,BANGKOK,BENGALURU,149,143,292
33,BANGKOK,CHENNAI,112,122,234
34,BANGKOK,DELHI,558,681,1239
35,BANGKOK,HYDERABAD,55,59,114
36,BANGKOK,KOLKATA,242,254,496
37,BANGKOK,MUMBAI,359,389,748
38,BIRMINGHAM,AMRITSAR,21,26,47
39,BIRMINGHAM,DELHI,2,2,4
40,CAIRO,MUMBAI,23,39,62
41,CHENGDU,BENGALURU,1,1,2
42,CHICAGO,DELHI,424,435,859
43,CHITTAGONG,KOLKATA,35,39,74
44,COLOGNE,DELHI,1,1,2
45,COLOMBO,BENGALURU,75,76,151
46,COLOMBO,CHENNAI,731,605,1336
47,COLOMBO,DELHI,93,122,215
48,COLOMBO,HYDERABAD,55,60,115
49,COLOMBO,KOCHI,122,116,238
50,COLOMBO,MUMBAI,74,124,198
51,COLOMBO,TIRUCHIRAPALLY,88,105,193
52,COLOMBO,TRIVANDRUM,119,89,208
53,COLOMBO,MADURAI,37,49,86
54,DAMMAM,CHENNAI,39,44,83
55,DAMMAM,DELHI,185,241,426
56,DAMMAM,HYDERABAD,124,151,275
57,DAMMAM,KOZHIKODE,137,162,299
58,DAMMAM,LUCKNOW,68,83,151
59,DAMMAM,MUMBAI,106,133,239
60,DAMMAM,KANNUR,14,17,31
61,DAMMAM,MANGALORE,42,48,90
