S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
1,ABUDHABI,AHMEDABAD,187,189,376
2,ABUDHABI,AMRITSAR,11,12,23
3,ABUDHABI,BENGALURU,43,56,99
4,ABUDHABI,CHENNAI,145,143,288
5,ABUDHABI,DELHI,378,469,847
6,ABUDHABI,HYDERABAD,155,155,310
7,ABUDHABI,KOCHI,339,467,806
8,ABUDHABI,KOLKATA,6,6,12
9,ABUDHABI,KOZHIKODE,202,270,472
10,ABUDHABI,LUCKNOW,12,11,23
11,ABUDHABI,MUMBAI,297,328,625
12,ABUDHABI,TIRUCHIRAPALLY,13,14,27
13,ABUDHABI,TRIVANDRUM,136,184,320
14,ABUDHABI,KANNUR,81,93,174
15,ABUDHABI,MANGALORE,34,48,82
16,ADDIS ABABA,DELHI,31,32,63
17,ADEN,MUMBAI,22,20,42
18,AL AIN,KOZHIKODE,18,21,39
19,ALMATY,DELHI,21,29,50
20,ALMATY,GOA,4,3,7
21,AMSTERDAM,DELHI,109,125,234
22,AMSTERDAM,MUMBAI,158,178,336
23,ASTANA,GOA,1,3,4
24,BAGHDAD,DELHI,42,45,87
25,BAHRAIN,BENGALURU,1,3,4
26,BAHRAIN,CHENNAI,21,35,56
27,BAHRAIN,DELHI,100,129,229
28,BAHRAIN,HYDERABAD,35,55,90
29,BAHRAIN,KOCHI,59,92,151
30,BAHRAIN,KOZHIKODE,60,81,141
31,BAHRAIN,MUMBAI,24,54,78
32,BAHRAIN,TIRUCHIRAPALLY,1,1,2
33,BAHRAIN,TRIVANDRUM,31,46,77
34,BAHRAIN,KANNUR,8,10,18
35,BAHRAIN,VIJAYAWADA,1,5,6
36,BAHRAIN,MANGALORE,8,11,19
37,BANGKOK,BENGALURU,6,7,13
38,BANGKOK,CHENNAI,14,20,34
39,BANGKOK,DELHI,78,94,172
40,BANGKOK,HYDERABAD,1,1,2
41,BANGKOK,KOLKATA,28,32,60
42,BANGKOK,MUMBAI,25,32,57
43,BARCELONA,DELHI,1,1,2
44,BIRMINGHAM,AMRITSAR,25,26,51
45,BIRMINGHAM,DELHI,1,1,2
46,BISHKEK,DELHI,1,6,7
