S.No.,CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2,MAIL TO CITY 2,MAIL FROM CITY 2,TOTAL AVG FLIGHTS
292,DARBHANGA,MUMBAI,1,1,21.5,1.7,0.0,0.0,2
293,DEHRA DUN,DELHI,3,3,17.3,16.6,0.0,1.1,6
294,DEHRA DUN,GUWAHATI,1,1,0.3,0.0,0.0,0.0,2
295,DEHRA DUN,HYDERABAD,1,1,0.0,0.5,0.0,0.0,2
296,DEHRA DUN,JAIPUR,1,1,0.0,0.0,0.0,0.0,2
297,DEHRA DUN,KOLKATA,1,1,0.0,0.0,0.0,0.0,2
298,DEHRA DUN,LUCKNOW,1,1,0.0,0.0,0.1,0.8,2
299,DEHRA DUN,MUMBAI,2,2,8.5,11.4,0.3,2.0,4
300,DEHRA DUN,PANTNAGAR,1,1,0.0,0.0,0.0,0.0,2
301,DEHRA DUN,PUNE,1,1,0.5,0.0,0.0,0.0,2
302,DEHRA DUN,VARANASI,1,1,0.0,0.2,0.0,0.0,2
303,DELHI,DHARAMSALA,1,1,0.0,0.0,0.0,0.0,2
304,DELHI,DIBRUGARH,1,1,23.7,0.8,3.7,3.4,2
305,DELHI,DIMAPUR,1,1,3.2,10.8,0.0,4.9,2
306,DELHI,DURGAPUR,1,1,4.8,0.0,0.0,0.0,2
307,DELHI,GAYA,1,1,0.1,0.0,0.0,0.0,2
308,DELHI,GORAKHPUR,2,2,14.1,0.0,6.7,0.0,4
309,DELHI,GUWAHATI,6,6,462.0,135.9,28.8,19.1,12
310,DELHI,GWALIOR,1,1,0.3,0.0,0.0,0.0,2
311,DELHI,HYDERABAD,9,9,905.1,925.5,25.5,20.1,18
312,DELHI,IMPHAL,1,1,130.7,48.7,4.3,0.4,2
313,DELHI,INDORE,3,3,175.5,133.2,13.6,11.3,6
314,DELHI,JABALPUR,1,1,7.2,4.4,0.0,0.0,2
315,DELHI,JAIPUR,2,2,32.1,45.8,0.0,26.0,4
316,DELHI,JAISALMER,1,1,0.0,0.0,0.0,0.0,2
317,DELHI,JAMMU,4,4,67.9,23.1,2.3,0.0,8
318,DELHI,JHARSUGUDA,1,1,11.2,1.0,0.0,0.0,2
319,DELHI,JODHPUR,2,2,2.2,0.7,0.0,0.4,4
320,DELHI,JORHAT,1,1,0.3,0.0,0.0,0.0,2
321,DELHI,KANDLA,1,1,0.0,0.0,0.0,0.0,2
322,DELHI,KANNUR,1,1,0.5,0.0,0.0,0.0,2
323,DELHI,KANPUR,1,1,1.9,0.0,0.0,0.0,2
324,DELHI,KHAJURAHO,1,1,0.0,0.0,0.0,0.0,2
325,DELHI,KOCHI,4,3,369.7,127.6,20.6,5.3,7
326,DELHI,KOLKATA,10,10,"1,588.7","1,951.2",51.8,30.8,20
327,DELHI,KOZHIKODE,1,1,29.6,1.6,0.3,0.0,2
328,DELHI,KULLU,1,1,0.0,0.0,0.0,0.0,2
329,DELHI,LEH,4,2,387.9,17.8,34.3,0.0,6
330,DELHI,LUCKNOW,4,5,272.5,84.7,32.6,16.8,9
331,DELHI,MADURAI,1,1,0.7,8.1,0.0,0.0,2
332,DELHI,MANGALORE,1,1,0.0,0.0,0.0,0.0,2
333,DELHI,MUMBAI,19,19,"3,119.9","2,480.4",38.6,74.8,38
334,DELHI,NAGPUR,2,2,121.4,34.4,10.3,0.9,4
335,DELHI,NASIK,1,1,0.0,0.0,0.0,0.0,2
336,DELHI,PAKYONG,1,1,0.2,0.0,0.0,0.0,2
337,DELHI,PANTNAGAR,1,1,0.0,0.0,0.0,0.0,2
338,DELHI,PATNA,7,6,455.7,71.0,41.7,10.4,13
339,DELHI,PORT BLAIR,1,1,20.3,5.9,0.0,0.0,2
340,DELHI,PUNE,9,8,893.5,576.6,10.4,5.2,17
341,DELHI,RAIPUR,3,3,191.3,24.5,12.5,2.4,6
342,DELHI,RAJKOT,1,1,10.8,13.2,0.0,0.0,2
343,DELHI,RANCHI,4,4,231.1,21.9,19.2,8.9,8
344,DELHI,SHIRDI,1,1,4.1,15.6,0.0,0.0,2
345,DELHI,SILCHAR,1,1,0.0,0.0,0.0,0.0,2
346,DELHI,SRINAGAR,11,10,548.5,161.5,22.9,32.9,21
347,DELHI,SURAT,3,3,93.8,110.2,3.5,0.0,6
348,DELHI,TIRUCHIRAPALLY,1,1,0.0,0.1,0.0,0.0,2
349,DELHI,TIRUPATI,1,1,2.5,4.3,0.0,0.0,2
350,DELHI,TRIVANDRUM,1,1,42.9,12.2,4.6,4.1,2
351,DELHI,UDAIPUR,2,2,6.8,0.9,0.0,0.0,4
352,DELHI,VADODARA,2,2,34.8,38.1,2.3,1.4,4
353,DELHI,VARANASI,4,3,86.8,31.9,17.6,1.7,7
354,DELHI,VIJAYAWADA,1,1,58.5,17.9,0.0,0.0,2
355,DELHI,VISAKHAPATNAM,2,2,100.9,43.7,10.2,1.0,4
356,DELHI,Kushinagar International Airport,1,1,0.0,0.0,0.0,0.0,2
357,DHARAMSALA,JAIPUR,1,1,0.0,0.0,0.0,0.0,2
358,DIBRUGARH,DIMAPUR,1,1,0.0,0.0,0.0,0.6,2
359,DIBRUGARH,GUWAHATI,1,1,1.5,0.1,0.1,2.8,2
360,DIBRUGARH,IMPHAL,1,1,0.0,0.1,0.0,0.0,2
361,DIBRUGARH,KOLKATA,1,1,12.4,35.2,3.7,8.5,2
362,DIBRUGARH,MUMBAI,1,1,0.0,0.5,0.0,0.0,2
363,DIBRUGARH,SHILLONG,1,1,0.0,0.0,0.0,0.0,2
364,DIMAPUR,GUWAHATI,1,1,0.0,1.5,0.0,0.0,2
366,DIMAPUR,IMPHAL,1,1,8.0,0.0,0.0,0.0,2
367,DIMAPUR,KOLKATA,1,1,4.4,105.4,7.8,6.2,2
368,DIMAPUR,MUMBAI,1,1,0.0,0.0,0.0,0.0,2
369,DIMAPUR,SHILLONG,1,1,0.0,0.0,0.0,0.0,2
370,DIU,MUMBAI,1,1,0.0,0.0,0.0,0.0,2
371,DURGAPUR,GUWAHATI,1,1,0.0,1.4,0.0,0.0,2
372,DURGAPUR,HYDERABAD,1,1,0.0,0.4,0.0,0.0,2
373,DURGAPUR,MUMBAI,1,1,0.0,0.5,0.0,0.0,2
374,DURGAPUR,TRIVANDRUM,1,1,0.0,0.0,0.0,0.0,2
376,GAYA,KOLKATA,1,1,0.0,0.2,0.0,0.0,2
377,GAYA,MUMBAI,1,1,0.0,0.0,0.0,0.0,2
378,GHAZIABAD,HUBLI,1,1,0.0,0.0,0.0,0.0,2
379,GHAZIABAD,"KALABURAGI, KARNATAKA",1,1,0.0,0.0,0.0,0.0,2
380,GORAKHPUR,HYDERABAD,1,1,0.0,5.2,0.0,0.0,2
382,GORAKHPUR,KANPUR,1,1,0.0,0.0,0.0,0.0,2
383,GORAKHPUR,KOLKATA,1,1,0.0,0.0,0.0,0.0,2
384,GORAKHPUR,LUCKNOW,1,1,0.0,0.0,0.0,0.0,2
385,GORAKHPUR,MUMBAI,1,1,0.0,11.2,0.0,0.7,2
386,GORAKHPUR,VARANASI,1,1,0.1,0.0,0.0,0.0,2
387,GUWAHATI,HYDERABAD,1,1,1.9,38.5,2.5,2.9,2
388,GUWAHATI,IMPHAL,2,2,70.2,23.7,7.5,4.3,4
389,GUWAHATI,JAIPUR,1,1,19.6,32.7,0.2,0.8,2
390,GUWAHATI,JODHPUR,1,1,0.0,0.0,0.0,0.0,2
391,GUWAHATI,JORHAT,1,1,0.2,0.2,0.0,0.0,2
392,GUWAHATI,KOLKATA,4,4,75.2,333.0,3.2,27.4,8
393,GUWAHATI,LILABARI,1,1,0.0,0.0,0.0,0.0,2
394,GUWAHATI,LUCKNOW,1,1,0.5,1.7,0.0,0.0,2
395,GUWAHATI,MUMBAI,1,1,21.1,88.8,0.4,4.4,2
396,GUWAHATI,PASIGHAT,1,1,0.3,0.0,0.0,0.0,2
397,GUWAHATI,PATNA,1,1,1.1,3.2,0.0,0.0,2
398,GUWAHATI,PUNE,1,1,1.3,16.5,0.0,1.5,2
399,GUWAHATI,RUPSI,1,1,0.0,0.0,0.0,0.0,2
400,GUWAHATI,SHILLONG,1,1,0.0,0.0,0.0,0.0,2
401,GUWAHATI,SILCHAR,1,1,6.2,0.0,1.9,0.0,2
402,GUWAHATI,TEZPUR,1,1,0.0,0.0,0.0,0.0,2
403,GUWAHATI,TEZU,1,1,0.0,0.0,0.0,0.0,2
404,GUWAHATI,UDAIPUR,1,1,0.1,0.0,0.0,0.0,2
405,GUWAHATI,VARANASI,1,1,0.1,0.4,0.0,0.0,2
406,GWALIOR,HYDERABAD,1,1,1.1,7.7,0.0,0.0,2
407,GWALIOR,INDORE,1,1,0.0,0.0,0.0,0.0,2
408,GWALIOR,JAIPUR,1,1,0.0,0.0,0.0,0.0,2
409,GWALIOR,JAMMU,1,1,0.0,0.0,0.0,0.0,2
410,GWALIOR,KOLKATA,1,1,8.8,1.6,0.0,0.0,2
411,GWALIOR,MUMBAI,1,1,1.9,5.0,0.0,0.0,2
412,HUBLI,KANNUR,1,1,0.3,0.0,0.0,0.0,2
413,HUBLI,MUMBAI,1,1,0.0,0.0,0.0,1.8,2
414,HUBLI,TIRUPATI,1,1,0.0,0.0,0.0,0.0,2
415,HYDERABAD,IMPHAL,1,1,0.8,10.9,0.0,0.0,2
416,HYDERABAD,INDORE,1,1,20.3,19.6,0.6,1.2,2
417,HYDERABAD,JABALPUR,1,1,0.8,0.0,0.0,0.0,2
418,HYDERABAD,JAGDALPUR,1,1,0.0,0.0,0.0,0.0,2
419,HYDERABAD,JAIPUR,2,2,19.7,70.0,0.5,1.9,4
421,HYDERABAD,JAMNAGAR,1,1,0.0,0.0,0.0,0.0,2
422,HYDERABAD,JHARSUGUDA,1,1,0.7,4.9,0.0,0.0,2
423,HYDERABAD,JODHPUR,1,1,0.3,0.0,0.0,0.0,2
424,HYDERABAD,KADAPA,1,1,0.0,0.0,0.0,0.0,2
425,HYDERABAD,KANNUR,1,1,0.5,0.0,0.0,0.0,2
426,HYDERABAD,KOCHI,2,2,28.2,24.3,8.2,5.1,4
427,HYDERABAD,KOLHAPUR,1,1,0.2,0.0,0.0,0.0,2
428,HYDERABAD,KOLKATA,4,4,380.1,241.8,18.6,7.0,8
429,HYDERABAD,KOZHIKODE,1,1,1.1,0.0,0.0,0.0,2
430,HYDERABAD,LUCKNOW,1,1,29.1,26.3,0.9,1.2,2
431,HYDERABAD,MADURAI,1,1,2.2,27.4,0.1,0.0,2
432,HYDERABAD,MANGALORE,1,1,0.5,0.0,0.1,0.0,2
433,HYDERABAD,MUMBAI,5,5,661.9,862.6,18.3,18.9,10
434,HYDERABAD,MYSORE,1,1,0.1,0.0,0.0,0.0,2
