S.No.,CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2,MAIL TO CITY 2,MAIL FROM CITY 2,TOTAL AVG FLIGHTS
1,AGARTALA,AHMEDABAD,1,1,24.8,0.0,0.0,0.0,2
2,AGARTALA,AIZAWL,1,1,0.0,0.0,0.0,0.0,2
3,AGARTALA,BENGALURU,1,1,0.0,5.2,0.0,0.7,2
5,AGARTALA,DELHI,1,1,13.6,35.9,0.2,0.0,2
6,AGARTALA,DIBRUGARH,1,1,0.0,0.0,0.0,0.0,2
7,AGARTALA,GUWAHATI,1,1,0.4,26.2,6.4,3.7,2
8,AGARTALA,IMPHAL,1,1,0.5,0.8,0.0,0.0,2
9,AGARTALA,KOLKATA,4,3,27.9,210.3,1.4,7.5,7
11,AGARTALA,SHILLONG,1,1,0.0,0.0,0.0,0.0,2
12,AGATTI ISLAND,BENGALURU,1,1,0.0,0.0,0.0,0.0,2
13,AGATTI ISLAND,KOCHI,1,1,0.1,1.0,0.0,0.0,2
14,AGATTI ISLAND,MYSORE,1,1,0.0,0.0,0.0,0.0,2
15,AGRA,BENGALURU,1,1,0.0,0.5,0.0,0.0,2
16,AGRA,BHOPAL,1,1,0.0,0.0,0.0,0.0,2
17,AGRA,LUCKNOW,1,1,0.0,0.0,0.0,0.0,2
18,AGRA,MUMBAI,1,1,0.0,0.0,0.0,0.0,2
19,AHMEDABAD,AMRITSAR,1,1,0.0,0.0,0.0,0.0,2
20,AHMEDABAD,BAGDOGRA,1,1,5.4,2.2,0.0,0.0,2
21,AHMEDABAD,BELGAUM,1,1,0.0,0.0,0.0,0.0,2
22,AHMEDABAD,BENGALURU,3,3,284.5,219.4,1.3,15.8,6
23,AHMEDABAD,BHOPAL,1,1,0.2,0.0,0.0,0.8,2
25,AHMEDABAD,CHANDIGARH,1,1,22.4,32.8,0.0,0.0,2
26,AHMEDABAD,CHENNAI,1,1,115.1,148.1,1.2,8.2,2
27,AHMEDABAD,COIMBATORE,1,1,3.9,0.1,0.0,0.0,2
28,AHMEDABAD,DABOLIM,2,2,18.9,44.4,0.3,1.7,4
29,AHMEDABAD,DEHRA DUN,1,1,0.6,0.1,0.0,0.0,2
30,AHMEDABAD,DELHI,7,7,"1,213.5","1,129.0",4.8,14.5,14
32,AHMEDABAD,GWALIOR,1,1,9.6,2.5,0.0,0.0,2
33,AHMEDABAD,HYDERABAD,2,2,109.8,90.0,1.5,4.8,4
34,AHMEDABAD,INDORE,1,1,0.1,0.0,0.0,0.1,2
35,AHMEDABAD,JAIPUR,1,1,7.1,2.3,0.0,0.0,2
37,AHMEDABAD,KOCHI,1,1,5.9,0.7,0.1,0.4,2
38,AHMEDABAD,KOLKATA,2,2,177.8,92.3,1.3,4.0,4
39,AHMEDABAD,LUCKNOW,1,1,30.7,8.9,2.4,1.7,2
40,AHMEDABAD,MUMBAI,5,5,781.1,688.7,4.8,25.1,10
41,AHMEDABAD,NAGPUR,1,1,0.4,0.2,0.0,0.0,2
42,AHMEDABAD,NASIK,1,1,0.3,0.0,0.0,0.0,2
43,AHMEDABAD,PATNA,1,1,41.4,3.3,0.0,0.0,2
44,AHMEDABAD,PUNE,1,1,18.2,25.5,0.0,1.4,2
45,AHMEDABAD,UDAIPUR,1,1,0.0,0.0,0.0,0.0,2
46,AHMEDABAD,VARANASI,1,1,2.9,0.2,0.0,0.0,2
47,AHMEDABAD,VISAKHAPATNAM,1,1,0.0,11.4,0.0,0.0,2
48,AIZAWL,DELHI,1,1,0.0,5.3,0.0,0.0,2
49,AIZAWL,GUWAHATI,1,1,2.0,2.1,0.4,2.3,2
50,AIZAWL,IMPHAL,1,1,0.0,0.1,0.0,0.0,2
51,AIZAWL,KOLKATA,1,1,3.0,20.1,0.0,7.7,2
52,AIZAWL,MUMBAI,1,1,0.0,0.0,0.0,0.0,2
53,AIZAWL,SHILLONG,1,1,1.3,0.0,0.0,0.0,2
54,AJMER,DELHI,1,1,0.1,0.0,0.0,0.0,2
55,AJMER,HYDERABAD,1,1,0.0,1.0,0.0,0.0,2
56,AJMER,INDORE,1,1,0.0,0.0,0.0,0.0,2
58,AJMER,MUMBAI,1,1,0.4,0.0,0.0,0.0,2
59,AJMER,SURAT,1,1,0.0,0.0,0.0,0.0,2
60,ALLAHABAD,BENGALURU,1,1,0.1,5.6,0.0,2.9,2
61,ALLAHABAD,BHOPAL,1,1,0.0,0.0,0.0,1.2,2
62,ALLAHABAD,BHUBANESWAR,1,1,0.1,0.0,0.0,0.0,2
63,ALLAHABAD,BILASPUR,1,1,0.0,0.0,0.0,0.0,2
64,ALLAHABAD,DEHRA DUN,1,1,0.0,0.0,0.0,0.0,2
65,ALLAHABAD,DELHI,1,1,0.1,1.1,0.0,0.0,2
66,ALLAHABAD,GORAKHPUR,1,1,0.0,0.0,0.0,0.0,2
67,ALLAHABAD,INDORE,1,1,0.0,0.0,0.0,0.0,2
68,ALLAHABAD,LUCKNOW,1,1,0.0,0.0,0.0,0.0,2
69,ALLAHABAD,MUMBAI,1,1,0.3,0.4,0.0,0.8,2
70,ALLAHABAD,PUNE,1,1,2.7,0.2,0.0,0.5,2
71,ALLAHABAD,RAIPUR,1,1,0.0,0.0,0.0,0.0,2
72,AMRITSAR,BENGALURU,1,1,2.0,3.3,0.0,3.1,2
73,AMRITSAR,CHENNAI,1,1,0.1,0.0,0.0,0.0,2
74,AMRITSAR,DABOLIM,1,1,0.0,0.0,0.0,0.0,2
75,AMRITSAR,DELHI,4,4,32.4,70.1,0.0,0.1,8
76,AMRITSAR,GUWAHATI,1,1,0.0,0.0,0.0,0.0,2
77,AMRITSAR,HYDERABAD,1,1,0.0,0.8,0.0,0.0,2
78,AMRITSAR,JAIPUR,1,1,0.0,0.8,0.0,0.0,2
81,AMRITSAR,KOLKATA,1,1,2.2,5.7,0.0,0.0,2
82,AMRITSAR,LUCKNOW,1,1,0.2,0.0,0.0,0.0,2
83,AMRITSAR,MUMBAI,2,2,3.0,13.9,0.0,0.6,4
84,AMRITSAR,NANDED,1,1,0.0,0.0,0.0,0.0,2
85,AMRITSAR,PATNA,1,1,0.5,0.2,0.0,0.0,2
86,AMRITSAR,PUNE,1,1,0.2,0.2,0.0,0.0,2
87,AMRITSAR,SRINAGAR,1,1,0.3,1.4,0.0,0.5,2
88,AURANGABAD,DELHI,1,1,15.4,51.9,0.3,0.0,2
89,AURANGABAD,HYDERABAD,1,1,0.3,0.1,0.0,0.0,2
90,AURANGABAD,MUMBAI,1,1,2.6,0.5,0.3,5.3,2
91,BAGDOGRA,BENGALURU,2,2,66.3,48.8,0.0,3.5,4
93,BAGDOGRA,CHENNAI,1,1,5.5,1.0,0.7,0.3,2
94,BAGDOGRA,DELHI,5,4,99.7,253.5,2.5,6.7,9
95,BAGDOGRA,DIBRUGARH,1,1,0.2,0.1,0.0,0.0,2
97,BAGDOGRA,HYDERABAD,1,1,14.7,13.8,0.0,0.0,2
98,BAGDOGRA,JAIPUR,1,1,1.1,1.3,0.0,0.0,2
99,BAGDOGRA,KOLKATA,3,3,69.1,83.9,10.6,16.5,6
100,BAGDOGRA,MUMBAI,1,1,36.5,60.2,0.0,1.5,2
101,BAREILLY,BENGALURU,1,1,0.0,0.4,0.0,0.0,2
102,BAREILLY,DELHI,1,1,0.0,0.0,0.0,0.0,2
103,BAREILLY,MUMBAI,1,1,0.0,0.4,0.0,0.0,2
104,BELGAUM,BENGALURU,1,1,0.2,0.2,0.0,0.0,2
105,BELGAUM,DELHI,1,1,0.0,0.7,0.0,0.0,2
106,BELGAUM,HYDERABAD,1,1,1.2,0.5,0.0,0.0,2
107,BELGAUM,INDORE,1,1,0.0,0.0,0.0,0.0,2
108,BELGAUM,JODHPUR,1,1,0.0,0.0,0.0,0.0,2
109,BELGAUM,MUMBAI,1,1,0.7,1.1,0.0,0.0,2
110,BELGAUM,NASIK,1,1,0.0,0.0,0.0,0.0,2
111,BELGAUM,PUNE,1,1,0.0,0.0,0.0,0.0,2
112,BELGAUM,SURAT,1,1,0.0,0.0,0.0,0.0,2
113,BELGAUM,TIRUPATI,1,1,0.0,0.0,0.0,0.0,2
114,BENGALURU,BHOPAL,1,1,18.3,1.0,5.6,2.5,2
115,BENGALURU,BHUBANESWAR,2,2,105.4,16.5,14.4,3.2,4
116,BENGALURU,CHANDIGARH,2,2,116.3,210.0,10.4,1.6,4
117,BENGALURU,CHENNAI,4,4,579.1,500.3,15.2,21.6,8
118,BENGALURU,COIMBATORE,1,1,17.0,41.6,0.0,0.0,2
119,BENGALURU,DABOLIM,4,5,28.2,74.0,1.3,1.7,9
120,BENGALURU,DARBHANGA,1,1,27.1,35.4,0.0,0.0,2
121,BENGALURU,DEHRA DUN,1,1,3.8,21.6,3.8,0.0,2
122,BENGALURU,DELHI,13,13,"2,355.4","2,278.4",33.2,20.7,26
123,BENGALURU,DIBRUGARH,1,1,0.4,0.2,0.0,0.0,2
124,BENGALURU,DIMAPUR,1,1,1.9,0.2,0.0,0.0,2
125,BENGALURU,DURGAPUR,1,1,0.2,0.0,0.0,0.0,2
126,BENGALURU,GORAKHPUR,1,1,0.3,0.0,0.0,0.0,2
127,BENGALURU,GUWAHATI,2,2,166.3,33.0,16.5,5.6,4
128,BENGALURU,GWALIOR,1,1,7.0,5.9,0.0,0.0,2
129,BENGALURU,HUBLI,1,1,0.6,0.2,1.1,1.7,2
130,BENGALURU,HYDERABAD,6,6,86.7,91.8,30.6,9.7,12
131,BENGALURU,IMPHAL,1,1,1.4,13.5,0.0,0.0,2
132,BENGALURU,INDORE,1,1,76.8,60.4,6.1,1.6,2
133,BENGALURU,JABALPUR,1,1,9.4,0.3,0.0,0.0,2
134,BENGALURU,JAIPUR,2,2,109.3,173.5,20.3,3.0,4
135,BENGALURU,JAMMU,1,1,0.0,0.0,0.0,0.0,2
136,BENGALURU,JAMNAGAR,1,1,0.0,0.0,0.0,0.0,2
137,BENGALURU,JHARSUGUDA,1,1,1.0,0.0,0.0,0.0,2
138,BENGALURU,JODHPUR,1,1,1.6,0.0,0.7,0.0,2
139,BENGALURU,JORHAT,1,1,0.3,0.0,0.0,0.0,2
140,BENGALURU,KADAPA,1,1,0.0,0.0,0.0,0.0,2
141,BENGALURU,"KALABURAGI, KARNATAKA",1,1,0.0,0.0,0.0,0.0,2
142,BENGALURU,KANNUR,1,1,5.8,0.0,0.0,0.0,2
143,BENGALURU,KANPUR,1,1,0.4,0.0,0.0,0.0,2
144,BENGALURU,KOCHI,4,4,125.7,29.3,11.4,3.3,8
145,BENGALURU,KOLHAPUR,1,1,0.0,0.0,0.0,0.0,2
146,BENGALURU,KOLKATA,6,7,533.4,462.7,24.1,14.2,13
147,BENGALURU,KOZHIKODE,1,1,14.5,0.1,1.2,0.0,2
148,BENGALURU,KURNOOL,1,1,0.3,0.0,0.0,0.0,2
149,BENGALURU,LUCKNOW,2,2,123.2,90.1,16.7,2.6,4
150,BENGALURU,MADURAI,1,1,1.0,1.2,4.5,0.6,2
151,BENGALURU,MANGALORE,2,2,8.0,0.0,3.3,0.0,4
152,BENGALURU,MUMBAI,10,10,"1,216.8","1,243.9",15.2,29.3,20
153,BENGALURU,MYSORE,1,1,2.1,0.0,0.0,0.0,2
154,BENGALURU,NAGPUR,1,1,41.4,14.1,4.8,1.6,2
155,BENGALURU,PATNA,2,2,157.1,61.6,5.2,2.5,4
156,BENGALURU,PONDICHERRY,1,1,0.0,0.0,0.0,0.0,2
157,BENGALURU,PORT BLAIR,1,1,19.0,1.6,0.2,0.0,2
158,BENGALURU,PUNE,4,4,257.1,182.3,8.2,1.5,8
159,BENGALURU,RAIPUR,1,1,30.5,2.8,5.7,2.1,2
160,BENGALURU,RAJAHMUNDRY,1,1,0.3,0.1,0.0,0.0,2
161,BENGALURU,RAJKOT,1,1,2.5,0.8,0.0,0.0,2
162,BENGALURU,RANCHI,2,2,62.3,10.4,8.2,2.2,4
163,BENGALURU,SHIRDI,1,1,5.4,4.5,0.0,0.0,2
164,BENGALURU,SILCHAR,1,1,0.5,0.0,0.0,0.0,2
165,BENGALURU,SRINAGAR,1,1,2.0,1.4,0.0,0.0,2
166,BENGALURU,SURAT,1,1,47.0,33.2,1.5,1.2,2
167,BENGALURU,TIRUCHIRAPALLY,1,1,0.9,0.1,1.0,0.0,2
168,BENGALURU,TIRUPATI,1,1,0.3,0.0,0.3,0.0,2
169,BENGALURU,TRIVANDRUM,2,2,20.8,13.0,3.1,4.6,4
170,BENGALURU,TUTICORIN,1,1,0.1,0.0,0.0,0.0,2
171,BENGALURU,UDAIPUR,1,1,2.4,1.5,0.0,0.0,2
172,BENGALURU,VADODARA,1,1,6.7,11.9,8.6,0.3,2
173,BENGALURU,VARANASI,2,2,15.5,70.1,7.7,0.4,4
174,BENGALURU,VIJAYAWADA,1,1,3.2,1.3,11.8,0.9,2
175,BENGALURU,VISAKHAPATNAM,2,2,58.1,50.8,8.3,0.9,4
176,BHAVNAGAR,MUMBAI,1,1,0.0,0.0,0.0,0.0,2
177,BHOPAL,CHENNAI,1,1,0.0,0.0,0.0,0.0,2
178,BHOPAL,DELHI,2,2,11.5,56.7,11.1,13.6,4
179,BHOPAL,HYDERABAD,1,1,0.0,0.5,1.3,0.1,2
180,BHOPAL,KOCHI,1,1,0.1,0.1,0.7,0.0,2
181,BHOPAL,MUMBAI,2,2,5.4,40.8,3.1,19.5,4
182,BHOPAL,PUNE,1,1,0.0,0.1,0.0,0.0,2
183,BHOPAL,RAIPUR,1,1,0.0,0.0,0.0,0.0,2
184,BHUBANESWAR,CHANDIGARH,1,1,0.0,0.0,0.0,0.0,2
185,BHUBANESWAR,CHENNAI,1,1,2.3,29.6,2.2,4.9,2
186,BHUBANESWAR,DELHI,4,4,51.7,277.5,11.9,23.8,8
187,BHUBANESWAR,HYDERABAD,2,2,5.6,35.5,1.5,4.6,4
188,BHUBANESWAR,JAIPUR,1,1,0.0,2.2,0.0,0.0,2
189,BHUBANESWAR,JHARSUGUDA,1,1,0.0,0.3,0.0,0.0,2
190,BHUBANESWAR,KOLKATA,2,2,70.2,34.0,6.9,17.2,4
191,BHUBANESWAR,LUCKNOW,1,1,0.0,0.0,0.0,0.0,2
192,BHUBANESWAR,MUMBAI,2,2,32.2,125.7,4.7,26.6,4
193,BHUBANESWAR,PATNA,1,1,0.0,0.0,0.0,0.0,2
194,BHUBANESWAR,PUNE,1,1,7.5,12.9,0.0,0.0,2
195,BHUBANESWAR,RAIPUR,1,1,0.1,0.0,0.3,0.0,2
196,BHUBANESWAR,RANCHI,1,1,0.0,0.0,0.0,0.0,2
197,BHUBANESWAR,SURAT,1,1,5.8,0.0,0.0,0.0,2
198,BHUBANESWAR,VARANASI,1,1,0.0,0.0,0.0,0.0,2
199,BHUJ,MUMBAI,1,1,0.0,0.0,0.0,0.0,2
200,BIKANER,DELHI,1,1,0.0,0.0,0.0,0.0,2
201,BILASPUR,DELHI,1,1,0.0,0.0,0.0,0.0,2
202,BILASPUR,JABALPUR,1,1,0.0,0.0,0.0,0.0,2
203,CHANDIGARH,CHENNAI,1,1,5.8,3.5,0.0,0.1,2
204,CHANDIGARH,DABOLIM,1,1,1.5,4.9,0.0,0.1,2
205,CHANDIGARH,DELHI,3,3,87.6,21.8,0.0,0.5,6
206,CHANDIGARH,DHARAMSALA,1,1,0.0,0.0,0.0,0.0,2
207,CHANDIGARH,GUWAHATI,1,1,1.9,0.0,0.0,0.0,2
208,CHANDIGARH,HYDERABAD,1,1,46.6,34.3,1.3,0.0,2
209,CHANDIGARH,JAIPUR,1,1,0.1,0.3,0.0,0.0,2
210,CHANDIGARH,KOLKATA,1,1,18.6,8.1,0.0,0.0,2
211,CHANDIGARH,KULLU,1,1,0.0,0.0,0.0,0.0,2
212,CHANDIGARH,LEH,1,1,17.7,0.1,0.0,0.0,2
213,CHANDIGARH,LUCKNOW,1,1,1.3,0.1,0.0,0.0,2
214,CHANDIGARH,MUMBAI,4,4,226.7,155.3,0.1,10.0,8
215,CHANDIGARH,PATNA,1,1,1.1,0.0,0.0,0.0,2
216,CHANDIGARH,PUNE,1,1,22.6,6.3,0.0,0.0,2
