S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2"
279,SINGAPORE,AHMEDABAD,13786,15515,357.9,659.0
280,SINGAPORE,AMRITSAR,14924,18285,0.0,15.7
281,SINGAPORE,BENGALURU,36566,41213,1117.5,1873.5
282,SINGAPORE,CHENNAI,74528,90855,1677.4,2346.2
283,SINGAPORE,COIMBATORE,13247,15055,0.1,41.2
284,SINGAPORE,DELHI,88396,100279,2098.1,1212.3
285,SINGAPORE,HYDERABAD,28102,31065,81.4,562.4
286,SINGAPORE,KOCHI,17552,21089,35.0,684.0
287,SINGAPORE,KOLKATA,19810,27364,89.9,272.3
288,SINGAPORE,MUMBAI,80436,97298,2261.6,1429.6
289,SINGAPORE,TIRUCHIRAPALLY,42289,49558,1.2,440.4
290,SINGAPORE,TRIVANDRUM,15964,18715,0.4,20.2
291,SINGAPORE,MADURAI,2776,3754,1.3,47.1
292,SINGAPORE,VISAKHAPATNAM,7117,9944,0.0,0.0
293,SOHAR,KOZHIKODE,1255,2917,0.0,0.0
294,SYDNEY,DELHI,16621,22153,214.9,545.2
295,TAIPAE,DELHI,0,0,490.4,335.4
296,TASHKENT,DELHI,9592,9008,138.6,476.7
297,TEHRAN,DELHI,4165,3256,51.7,247.8
298,TEHRAN,MUMBAI,896,1084,4.7,10.0
299,TELAVIV,DELHI,7984,6908,250.8,295.5
300,TOKYO,DELHI,9215,15500,1360.8,1112.8
301,TORONTO,DELHI,51080,55984,938.0,1075.2
302,Vancouver,DELHI,15994,16976,8.3,136.0
303,VIENNA,DELHI,0,0,0.0,350.2
304,WARSAW,DELHI,14681,14115,440.8,939.2
305,"WASHINGTON, DC",DELHI,9413,8684,30.6,17.3
306,ZURICH,DELHI,12347,14484,586.4,799.4
307,ZURICH,MUMBAI,13326,14593,1025.3,983.1
