S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2"
1,ABUDHABI,AHMEDABAD,29698,25661,502.4,751.1
2,ABUDHABI,BENGALURU,33104,30618,497.9,1060.2
3,ABUDHABI,CHENNAI,33728,32157,650.5,1083.6
4,ABUDHABI,DELHI,66304,60641,259.1,1476.6
5,ABUDHABI,HYDERABAD,31363,31756,314.6,397.0
6,ABUDHABI,KANNUR,22666,21877,0.4,87.9
7,ABUDHABI,KOCHI,55825,59842,55.2,516.1
8,ABUDHABI,KOZHIKODE,28037,29805,49.6,375.8
9,ABUDHABI,MANGALORE,6090,6807,0.1,73.7
10,ABUDHABI,MUMBAI,98131,90225,940.3,2028.4
11,ABUDHABI,TIRUCHIRAPALLY,1784,1388,0.0,17.5
12,ABUDHABI,TRIVANDRUM,28113,30745,1.6,426.1
13,ADDIS ABABA,DELHI,25658,25718,61.3,792.1
14,ADDIS ABABA,MUMBAI,7506,8399,299.2,644.4
15,ADEN,MUMBAI,3597,3277,0.0,31.1
16,AL AIN,KOZHIKODE,4049,4361,0.0,44.6
17,ALMATY,DELHI,14516,13936,3.7,188.2
18,ALMATY,GOA,2388,1421,0.0,0.0
19,AMMAN,MUMBAI,0,0,0.0,0.0
20,AMSTERDAM,BENGALURU,19087,19024,764.5,973.6
21,AMSTERDAM,DELHI,32239,30868,1020.9,1352.2
22,AMSTERDAM,MUMBAI,23256,23083,1226.7,1090.4
23,BAGHDAD,DELHI,6658,6829,0.1,5.9
24,BAHRAIN,BENGALURU,10810,10391,6.3,78.4
25,BAHRAIN,CHENNAI,15379,15515,19.1,204.1
26,BAHRAIN,DELHI,44093,41223,24.2,406.0
27,BAHRAIN,HYDERABAD,13907,12813,5.1,122.2
28,BAHRAIN,KANNUR,1613,1549,1.2,8.3
29,BAHRAIN,KOCHI,18563,17719,4.2,184.7
30,BAHRAIN,KOZHIKODE,16529,17663,7.3,131.7
31,BAHRAIN,MANGALORE,1075,1027,0.0,3.1
32,BAHRAIN,MUMBAI,37289,39146,23.4,481.1
33,BAHRAIN,TRIVANDRUM,12727,12472,0.9,114.0
34,BAKU,DELHI,3022,2494,0.0,0.0
35,BANGKOK,AHMEDABAD,1585,2018,0.0,0.0
36,BANGKOK,BAGDOGRA,249,298,0.0,0.0
37,BANGKOK,BENGALURU,42527,40399,6075.0,817.1
38,BANGKOK,CHENNAI,21722,22108,893.0,1112.0
39,BANGKOK,DELHI,131986,141823,2769.4,1289.2
40,BANGKOK,GAYA,5352,4951,0.0,0.0
41,BANGKOK,HYDERABAD,17275,17414,146.7,459.7
42,BANGKOK,KOLKATA,47728,49252,63.8,443.7
43,BANGKOK,MUMBAI,73193,77935,1584.9,1371.9
44,BANGKOK,PUNE,1734,1277,0.0,2.5
45,BIRMINGHAM,AMRITSAR,6258,5810,0.4,2.1
46,BIRMINGHAM,DELHI,7495,7171,32.8,34.8
47,BISHKEK,DELHI,536,565,0.0,19.5
48,CAIRO,MUMBAI,12228,11751,274.7,388.0
49,CHENGDU,BENGALURU,0,0,4.6,1.5
50,CHICAGO,DELHI,48232,40662,824.7,684.1
51,CHITTAGONG,KOLKATA,366,547,0.0,0.0
52,COLOGNE,BENGALURU,0,0,631.4,3732.6
53,COLOMBO,BENGALURU,8362,8520,41.7,136.4
54,COLOMBO,CHENNAI,83893,80093,789.9,926.8
55,COLOMBO,DELHI,21380,21547,75.9,156.1
56,COLOMBO,HYDERABAD,5132,5005,2.9,95.5
57,COLOMBO,KOCHI,11045,11525,12.4,117.1
58,COLOMBO,MADURAI,5042,7014,0.0,89.9
59,COLOMBO,MUMBAI,12598,13385,274.1,413.4
60,COLOMBO,TIRUCHIRAPALLY,8950,9411,3.0,188.7
61,COLOMBO,TRIVANDRUM,11159,6290,4.1,185.9
62,DA NANG,DELHI,5033,5099,2.7,0.8
63,DAMMAM,DELHI,26904,29433,6.0,62.2
64,DAMMAM,HYDERABAD,14863,16824,0.3,3.8
65,DAMMAM,KANNUR,3376,4541,0.0,1.7
66,DAMMAM,KOCHI,1257,1388,0.0,12.3
67,DAMMAM,KOZHIKODE,6415,7113,0.0,91.0
68,DAMMAM,LUCKNOW,5433,6647,0.1,23.2
69,DAMMAM,MANGALORE,4833,5429,1.1,45.2
70,DAMMAM,MUMBAI,13928,18148,0.8,79.3
71,DAMMAM,TRIVANDRUM,1066,1125,0.0,8.7
72,DAR ES SALAM,MUMBAI,9257,7753,19.0,242.7
73,DHAKA,CHENNAI,7093,7712,17.5,8.2
74,DHAKA,DELHI,38657,35396,141.0,239.7
75,DHAKA,HYDERABAD,3226,2524,6.5,5.0
76,DHAKA,KOLKATA,67700,73084,14.1,603.5
77,DHAKA,MUMBAI,9021,6033,12.3,14.7
78,DOHA,AHMEDABAD,14958,12190,1112.2,2447.4
79,DOHA,AMRITSAR,10957,9243,2.2,59.4
80,DOHA,BENGALURU,41529,33084,2466.0,3177.7
81,DOHA,CHENNAI,39138,34374,3972.6,4255.2
82,DOHA,DELHI,89166,75355,2658.6,3505.9
83,DOHA,GOA,13032,11258,1.6,1.9
84,DOHA,HYDERABAD,59728,44453,1266.7,2640.6
85,DOHA,KANNUR,19183,21969,1.6,261.9
86,DOHA,KOCHI,53968,53242,241.1,1445.1
87,DOHA,KOLKATA,19223,16402,541.1,676.6
88,DOHA,KOZHIKODE,20250,23839,20.6,362.6
89,DOHA,MANGALORE,1707,2043,1.4,84.1
90,DOHA,MUMBAI,82930,68203,4874.6,5510.0
91,DOHA,NAGPUR,3993,3404,0.2,32.3
92,DOHA,TIRUCHIRAPALLY,1069,1117,0.0,42.0
93,DOHA,TRIVANDRUM,15006,13937,12.4,210.7
94,DON MUEANG,BENGALURU,14979,15061,1.9,144.5
95,DON MUEANG,CHENNAI,13955,14724,3.5,99.4
96,DON MUEANG,GAYA,2522,1975,0.0,0.0
97,DON MUEANG,JAIPUR,9736,9838,0.0,0.0
98,DON MUEANG,KOCHI,10357,10141,0.6,10.3
