S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2"
1,ABUDHABI,AHMEDABAD,20564,20685,784.0,900.0
2,ABUDHABI,AMRITSAR,1171,1229,0.4,0.0
3,ABUDHABI,BENGALURU,4644,6143,328.5,699.6
4,ABUDHABI,CHENNAI,15933,15718,312.6,332.4
5,ABUDHABI,DELHI,41536,51494,450.3,1050.0
6,ABUDHABI,HYDERABAD,16946,17014,112.2,286.6
7,ABUDHABI,KOCHI,37262,51339,139.4,494.7
8,ABUDHABI,KOLKATA,551,611,0.0,0.0
9,ABUDHABI,KOZHIKODE,22218,29591,20.5,96.6
10,ABUDHABI,LUCKNOW,1319,1104,0.2,0.0
11,ABUDHABI,MUMBAI,32602,36000,634.9,1125.1
12,ABUDHABI,TIRUCHIRAPALLY,1354,1498,0.3,1.1
13,ABUDHABI,TRIVANDRUM,14891,20134,5.6,138.7
14,ABUDHABI,KANNUR,8904,10193,0.1,2.1
15,ABUDHABI,MANGALORE,3632,5270,0.0,7.2
16,ADDIS ABABA,DELHI,3306,3438,34.3,116.3
17,ADEN,MUMBAI,2405,2147,0.0,19.9
18,AL AIN,KOZHIKODE,1878,2210,0.0,0.0
19,ALMATY,DELHI,2289,3112,0.2,53.3
20,ALMATY,GOA,368,297,0.0,0.0
21,AMSTERDAM,DELHI,11980,13651,682.2,663.8
22,AMSTERDAM,MUMBAI,17347,19509,694.7,910.8
23,ASTANA,GOA,0,235,0.0,0.0
24,BAGHDAD,DELHI,4615,4894,0.0,6.2
25,BAHRAIN,BENGALURU,89,266,0.4,5.2
26,BAHRAIN,CHENNAI,2272,3788,22.1,70.4
27,BAHRAIN,DELHI,10926,14148,28.5,446.0
28,BAHRAIN,HYDERABAD,3830,6030,1.0,154.7
29,BAHRAIN,KOCHI,6457,10089,7.8,96.9
30,BAHRAIN,KOZHIKODE,6507,8841,27.8,102.3
31,BAHRAIN,MUMBAI,2622,5881,6.8,86.7
32,BAHRAIN,TIRUCHIRAPALLY,46,0,0.0,0.0
33,BAHRAIN,TRIVANDRUM,3390,4981,1.8,60.9
34,BAHRAIN,KANNUR,812,1097,0.0,9.3
35,BAHRAIN,VIJAYAWADA,0,529,0.0,0.0
36,BAHRAIN,MANGALORE,818,1107,0.0,1.1
37,BANGKOK,BENGALURU,629,684,5612.3,1978.3
38,BANGKOK,CHENNAI,1537,2109,1074.6,976.8
39,BANGKOK,DELHI,8531,10267,2496.6,777.1
40,BANGKOK,HYDERABAD,0,0,0.0,29.2
41,BANGKOK,KOLKATA,3066,3514,49.8,393.6
42,BANGKOK,MUMBAI,2746,3467,864.5,918.8
43,BARCELONA,DELHI,0,0,0.0,33.1
44,BIRMINGHAM,AMRITSAR,2734,2840,0.0,82.5
45,BIRMINGHAM,DELHI,2,0,0.0,0.0
46,BISHKEK,DELHI,47,570,0.0,0.0
47,BUCHAREST,DELHI,2104,5,0.0,25.3
48,BUCHAREST,MUMBAI,219,0,0.0,0.6
49,BUCHAREST,ISTANBUL,1094,0,0.0,0.0
50,BUDAPEST,DELHI,481,0,0.0,0.0
51,BUDAPEST,ISTANBUL,2184,0,0.0,0.0
52,CAIRO,MUMBAI,0,0,826.4,1127.5
53,CHENGDU,CHENNAI,0,0,24.7,0.0
54,CHENGDU,DELHI,0,0,105.8,0.0
55,CHENGDU,KOLKATA,0,0,267.7,28.9
56,CHICAGO,DELHI,45389,49723,1030.6,906.3
57,CHICAGO,HYDERABAD,2199,2381,20.7,87.7
58,CHITTAGONG,KOLKATA,3076,2997,0.0,0.0
59,COLOGNE,DELHI,0,0,1529.4,4079.3
60,COLOMBO,BENGALURU,12084,12821,155.6,325.3
61,COLOMBO,CHENNAI,69063,71692,681.9,912.7
62,COLOMBO,DELHI,14902,15364,219.3,213.7
63,COLOMBO,HYDERABAD,6004,6915,6.9,95.3
64,COLOMBO,KOCHI,8906,12125,36.4,107.1
65,COLOMBO,MUMBAI,10724,16221,304.4,369.4
66,COLOMBO,TIRUCHIRAPALLY,6098,7043,1.6,83.1
67,COLOMBO,TRIVANDRUM,7556,7556,2.7,110.5
68,COLOMBO,MADURAI,3395,5115,0.1,43.0
69,DAMMAM,CHENNAI,349,847,0.0,0.0
70,DAMMAM,DELHI,11141,17857,2.5,22.8
71,DAMMAM,HYDERABAD,2249,4980,0.1,12.7
72,DAMMAM,KOCHI,2490,7830,3.3,36.6
73,DAMMAM,KOZHIKODE,5474,10829,9.4,134.8
74,DAMMAM,LUCKNOW,9095,10085,1.1,7.0
75,DAMMAM,MUMBAI,5481,22145,5.0,60.4
76,DAMMAM,TRIVANDRUM,1615,2148,0.0,15.4
77,DAMMAM,KANNUR,492,1358,0.0,19.6
78,DAMMAM,MANGALORE,2764,3790,0.0,15.6
79,DAR ES SALAM,MUMBAI,4064,5526,47.1,252.8
80,DHAKA,CHENNAI,4058,4176,21.4,36.2
81,DHAKA,DELHI,9638,9539,58.4,261.8
82,DHAKA,KOLKATA,30991,28581,372.3,2567.0
83,DHAKA,MUMBAI,0,0,0.0,70.5
84,DOHA,AHMEDABAD,9268,9477,1934.4,2337.6
85,DOHA,AMRITSAR,1082,0,0.0,0.0
86,DOHA,BENGALURU,25894,31273,3278.5,4388.7
87,DOHA,CHENNAI,37271,42489,4861.0,4277.3
88,DOHA,DELHI,90613,99246,3602.6,6063.2
89,DOHA,HYDERABAD,43752,48275,2538.2,2893.2
90,DOHA,JAIPUR,681,0,0.0,0.0
91,DOHA,KOCHI,44029,52099,347.6,1248.8
92,DOHA,KOLKATA,4052,4094,644.6,749.8
93,DOHA,KOZHIKODE,24661,28859,372.0,722.5
94,DOHA,MUMBAI,67561,88144,6077.1,6506.9
95,DOHA,TIRUCHIRAPALLY,4562,6563,76.2,269.0
96,DOHA,TRIVANDRUM,10829,13376,0.9,248.8
97,DOHA,KANNUR,11553,15934,185.2,453.9
98,DOHA,MANGALORE,1849,2960,93.1,87.8
99,DUBAI,AHMEDABAD,41586,48531,516.5,1894.5
100,DUBAI,AMRITSAR,22634,24661,5.7,97.4
101,DUBAI,BENGALURU,37164,41325,3490.5,5158.9
102,DUBAI,CHENNAI,60438,63903,3566.7,3766.8
103,DUBAI,DELHI,137896,141920,2971.6,9479.6
104,DUBAI,GOA,2066,2527,0.1,7.3
105,DUBAI,HYDERABAD,66251,70509,576.3,3574.3
106,DUBAI,JAIPUR,13107,14452,0.9,0.0
107,DUBAI,KOCHI,67639,82600,845.2,2400.5
108,DUBAI,KOLKATA,26338,26495,433.2,1109.1
109,DUBAI,KOZHIKODE,45809,53861,144.3,618.7
110,DUBAI,LUCKNOW,32624,34384,2.9,555.0
111,DUBAI,MUMBAI,111377,124632,5612.6,9590.3
112,DUBAI,TIRUCHIRAPALLY,13547,15845,2.1,253.2
113,DUBAI,TRIVANDRUM,27946,32214,38.4,1226.6
114,DUBAI,KANNUR,10061,9981,0.1,20.0
115,DUBAI,VIJAYAWADA,2439,0,0.0,0.0
116,DUBAI,MADURAI,8327,8742,0.0,39.2
117,DUBAI,MANGALORE,19211,23981,0.6,97.0
118,DUBAI,CHANDIGARH,825,824,0.0,0.0
119,DUBAI,INDORE,1370,1469,0.2,0.0
120,DUBAI,PUNE,820,839,0.0,1.9
121,DUSHANBE,DELHI,0,0,0.0,32.6
122,FRANKFURT,BENGALURU,12135,16157,2458.8,4129.1
123,FRANKFURT,DELHI,37801,46338,1606.6,1634.4
124,FRANKFURT,MUMBAI,10831,13607,3452.4,3241.3
125,GUANGZHOU,DELHI,0,0,1589.7,726.3
126,GUANGZHOU,MUMBAI,0,0,0.0,332.3
127,HANOI,DELHI,428,518,2627.8,83.6
128,HANOI,KOLKATA,0,0,12.3,11.5
129,HANOI,VARANASI,0,44,0.0,0.0
130,HANOI,GAYA,30,0,0.0,0.0
131,HELNSKI,DELHI,9768,10879,561.8,528.3
132,HO CHI MINH CITY,BENGALURU,0,0,2312.3,1.1
133,HO CHI MINH CITY,CHENNAI,0,0,212.8,0.0
134,HO CHI MINH CITY,KOLKATA,0,0,10.0,30.7
135,HONG KONG,BENGALURU,0,0,2810.7,996.5
136,HONG KONG,CHENNAI,0,0,6017.7,3014.2
137,HONG KONG,DELHI,1823,104,13416.4,4051.4
138,HONG KONG,HYDERABAD,0,0,228.1,383.6
139,HONG KONG,KOLKATA,0,0,455.9,730.1
140,HONG KONG,MUMBAI,0,0,2473.9,2070.2
141,ISTANBUL,AHMEDABAD,0,0,212.6,860.2
142,ISTANBUL,BENGALURU,0,0,1065.4,1159.1
143,ISTANBUL,CHENNAI,0,0,1707.8,1467.8
144,ISTANBUL,DELHI,7742,771,1483.5,1392.8
145,ISTANBUL,HYDERABAD,0,0,597.4,2329.7
146,ISTANBUL,MUMBAI,716,773,3356.3,1577.3
147,JEDDAH,AHMEDABAD,15,0,0.0,0.0
148,JEDDAH,BENGALURU,454,1514,4.6,144.2
149,JEDDAH,CHENNAI,3400,6162,54.0,341.3
150,JEDDAH,DELHI,15876,16201,111.0,915.4
151,JEDDAH,HYDERABAD,6090,10563,31.3,342.9
152,JEDDAH,KOCHI,10665,11847,259.2,644.4
153,JEDDAH,KOZHIKODE,11474,14679,3.2,2.1
154,JEDDAH,LUCKNOW,8871,11338,14.8,180.5
155,JEDDAH,MUMBAI,8075,16356,86.1,513.6
156,KABUL,DELHI,0,0,0.0,115.5
157,KATHMANDU,DELHI,46317,37798,36.5,135.4
158,KATHMANDU,KOLKATA,262,170,0.0,0.0
159,KATHMANDU,MUMBAI,442,397,0.0,0.0
160,KHIMKI,DELHI,4874,5069,46.6,145.4
161,KHIMKI,GOA,2933,3273,0.0,0.0
162,KIEV,DELHI,239,7,0.0,14.3
163,KIGALI,MUMBAI,4745,4938,0.0,0.0
164,KOSICE,DELHI,756,4,0.0,0.0
165,KOSICE,ISTANBUL,154,0,0.0,0.0
166,KUALALUMPUR,BENGALURU,805,51,1159.6,623.1
167,KUALALUMPUR,CHENNAI,2472,2655,1273.6,602.9
168,KUALALUMPUR,DELHI,4268,3599,891.3,841.9
169,KUALALUMPUR,HYDERABAD,897,1710,29.4,5.6
170,KUALALUMPUR,KOCHI,1159,1423,0.0,3.7
171,KUALALUMPUR,MUMBAI,320,176,1607.6,1489.8
172,KUALALUMPUR,TIRUCHIRAPALLY,8117,5146,0.0,196.8
173,KUALALUMPUR,VIJAYAWADA,503,0,0.0,0.0
174,KUNMING,KOLKATA,0,0,989.3,525.4
175,KUTAISI,AMRITSAR,5165,6396,0.0,0.0
176,KUTAISI,DELHI,558,0,0.0,0.0
177,KUWAIT,AHMEDABAD,12639,17324,5.6,154.7
178,KUWAIT,BENGALURU,2937,3122,0.0,74.3
179,KUWAIT,CHENNAI,24891,29145,62.4,683.8
180,KUWAIT,DELHI,35066,41776,50.5,1196.7
181,KUWAIT,HYDERABAD,14031,21057,13.6,370.9
182,KUWAIT,KOCHI,27572,35335,57.3,1207.9
183,KUWAIT,KOZHIKODE,4656,8504,13.1,220.1
184,KUWAIT,LUCKNOW,5903,5602,1.4,17.0
185,KUWAIT,MUMBAI,16033,26784,21.7,1237.2
186,KUWAIT,TIRUCHIRAPALLY,3603,5045,1.0,42.1
187,KUWAIT,TRIVANDRUM,5343,4660,0.6,119.6
188,KUWAIT,KANNUR,4448,6040,0.2,148.3
189,KUWAIT,VIJAYAWADA,3249,1058,0.1,0.0
190,KUWAIT,MANGALORE,1823,2712,0.1,80.0
191,LEIPZIG,BENGALURU,0,0,0.0,6782.0
192,LEIPZIG,DELHI,0,0,3833.8,7531.6
193,LONDON,AHMEDABAD,5793,6026,151.5,185.7
194,LONDON,AMRITSAR,2957,3334,0.2,64.8
195,LONDON,BENGALURU,2660,5409,270.1,252.7
196,LONDON,CHENNAI,1652,2600,150.4,58.2
197,LONDON,DELHI,55443,64860,2451.1,3116.0
198,LONDON,GOA,6111,5683,17.7,290.4
199,LONDON,HYDERABAD,4752,6031,118.6,139.0
200,LONDON,KOCHI,7428,8627,12.1,155.4
201,LONDON,KOLKATA,1678,1583,32.1,49.8
202,LONDON,MUMBAI,32127,38263,1828.4,2358.1
203,LUXEMBOURG,MUMBAI,0,0,88.5,677.1
204,MALE,BENGALURU,19081,20242,0.3,683.6
205,MALE,CHENNAI,811,1218,0.0,14.2
206,MALE,DELHI,11260,11895,0.9,64.4
207,MALE,HYDERABAD,2174,2527,0.2,12.7
208,MALE,KOCHI,9211,13003,0.1,328.8
209,MALE,MUMBAI,18478,20418,1.8,172.2
210,MALE,TRIVANDRUM,5561,7241,0.7,197.0
211,MALPENSA,MUMBAI,0,0,0.0,671.7
212,MELBOURNE,DELHI,25261,23485,58.7,214.2
213,Milan Bergamo ,AMRITSAR,1538,2540,0.0,0.0
214,MONTREAL,DELHI,10461,13096,42.7,145.1
215,MOSCOW,DELHI,5552,6337,54.1,307.9
216,MUENCHEN,DELHI,6652,8027,351.9,427.8
217,MUSCAT,AHMEDABAD,3282,7712,0.0,8.1
218,MUSCAT,BENGALURU,3455,4167,10.1,49.6
219,MUSCAT,CHENNAI,9163,11116,140.3,275.4
220,MUSCAT,DELHI,23067,26517,146.7,524.8
221,MUSCAT,HYDERABAD,10732,15558,10.5,173.1
222,MUSCAT,JAIPUR,3262,4899,0.0,0.0
223,MUSCAT,KOCHI,15157,22885,202.4,523.9
224,MUSCAT,KOZHIKODE,12726,15098,83.5,115.8
225,MUSCAT,LUCKNOW,11253,11705,0.0,73.8
226,MUSCAT,MUMBAI,15878,29448,694.1,1442.9
227,MUSCAT,TIRUCHIRAPALLY,1800,1730,0.0,2.4
228,MUSCAT,TRIVANDRUM,16212,17101,2.5,231.4
229,MUSCAT,KANNUR,5829,5691,0.1,18.3
230,MUSCAT,VIJAYAWADA,1203,772,0.0,0.0
231,MUSCAT,MANGALORE,2436,3382,0.0,10.2
232,NAIROBI,AHMEDABAD,2934,3446,0.0,35.3
233,NAIROBI,DELHI,1131,1004,105.4,69.4
234,NAIROBI,MUMBAI,6381,6473,46.1,123.9
235,Nanning,KOLKATA,0,0,177.7,5.5
236,NARITA,DELHI,2765,3517,359.2,280.9
237,NEW YORK,DELHI,31424,31998,679.4,455.5
238,NEWARK,DELHI,38853,41656,488.1,569.4
239,NEWARK,MUMBAI,24172,24558,406.1,224.4
240,OSH,DELHI,0,565,0.0,0.0
241,PARIS,BENGALURU,6921,10793,535.5,731.7
242,PARIS,CHENNAI,3976,3009,204.8,170.9
243,PARIS,DELHI,24425,33553,1694.6,2399.5
244,PARIS,MUMBAI,6095,7775,690.7,1385.3
245,PARO,DELHI,1109,1146,0.7,11.6
246,PARO,KOLKATA,413,251,0.7,1.2
247,PHUKET,BENGALURU,358,504,0.0,0.6
248,PHUKET,DELHI,1533,1552,4.5,0.0
249,PHUKET,KOLKATA,35,444,0.0,0.0
250,PHUKET,MUMBAI,641,570,0.0,0.0
251,PORT LOUIS,MUMBAI,4542,5743,47.8,1044.4
252,RANGOON,DELHI,712,785,47.9,37.0
253,RANGOON,KOLKATA,0,0,14.6,255.5
254,RANGOON,MUMBAI,0,0,0.0,32.2
255,RAS AL-KHAIMAH,DELHI,3844,11369,34.6,3.8
256,RAS AL-KHAIMAH,JAIPUR,0,175,0.0,0.0
257,RAS AL-KHAIMAH,KOZHIKODE,2693,4143,41.8,12.1
