date,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,late_aircraft_ct,arr_cancelled,arr_delay,carrier_delay,weather_delay,nas_delay,late_aircraft_delay,total_delayed_flights
2019-1,MQ,Envoy Air,SAV,"Savannah, GA: Savannah/Hilton Head International",65,15,3,1,4,7,1,601,180,29,129,263,30
2019-1,MQ,Envoy Air,SDF,"Louisville, KY: Louisville Muhammad Ali International",61,18,3,1,9,5,1,890,180,36,383,291,36
2019-1,MQ,Envoy Air,SGF,"Springfield, MO: Springfield-Branson National",428,80,13,5,27,34,15,3954,705,213,982,2054,159
2019-1,MQ,Envoy Air,SHV,"Shreveport, LA: Shreveport Regional",174,28,6,1,11,10,0,1655,360,55,268,972,56
2019-1,MQ,Envoy Air,SJT,"San Angelo, TX: San Angelo Regional/Mathis Field",135,23,11,0,7,5,2,835,320,27,192,296,46
2019-1,MQ,Envoy Air,SPI,"Springfield, IL: Abraham Lincoln Capital",53,5,3,0,1,1,2,169,100,0,28,41,10
2019-1,MQ,Envoy Air,SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",88,8,2,0,2,3,6,263,98,5,66,94,15
2019-1,MQ,Envoy Air,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",31,13,1,1,10,1,2,537,41,60,391,45,26
2019-1,MQ,Envoy Air,STL,"St. Louis, MO: St Louis Lambert International",59,15,4,2,5,4,7,683,205,78,218,182,30
2019-1,MQ,Envoy Air,SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",116,16,0,2,9,6,16,658,0,88,238,332,33
2019-1,MQ,Envoy Air,SWO,"Stillwater, OK: Stillwater Regional",63,4,4,0,0,0,2,86,80,0,6,0,8
2019-1,MQ,Envoy Air,SYR,"Syracuse, NY: Syracuse Hancock International",119,33,6,3,18,6,19,1618,396,161,760,301,66
2019-1,MQ,Envoy Air,TLH,"Tallahassee, FL: Tallahassee International",197,41,11,1,15,14,3,1963,484,18,507,954,82
2019-1,MQ,Envoy Air,TOL,"Toledo, OH: Toledo Express",80,15,1,3,6,5,16,531,70,87,174,200,30
2019-1,MQ,Envoy Air,TUL,"Tulsa, OK: Tulsa International",83,22,3,1,11,6,9,1017,141,56,444,376,43
2019-1,MQ,Envoy Air,TVC,"Traverse City, MI: Cherry Capital",50,11,2,0,7,2,7,350,34,16,203,97,22
2019-1,MQ,Envoy Air,TXK,"Texarkana, AR: Texarkana Regional-Webb Field",87,8,2,1,3,3,0,377,127,51,107,92,17
2019-1,MQ,Envoy Air,TYR,"Tyler, TX: Tyler Pounds Regional",116,15,4,1,4,6,1,589,176,143,103,167,30
