date,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,late_aircraft_ct,arr_cancelled,arr_delay,carrier_delay,weather_delay,nas_delay,late_aircraft_delay,total_delayed_flights
2018-2,G4,Allegiant Air,BLV,"Belleville, IL: Scott AFB/MidAmerica",73,12,6,0,2,5,0,923,730,0,51,142,25
2018-2,G4,Allegiant Air,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",16,2,1,0,0,1,0,268,244,0,0,24,4
2018-2,G4,Allegiant Air,BOI,"Boise, ID: Boise Air Terminal",24,10,3,0,2,6,0,401,109,0,49,243,21
2018-2,G4,Allegiant Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",12,0,0,0,0,0,0,0,0,0,0,0,0
2018-2,G4,Allegiant Air,BZN,"Bozeman, MT: Bozeman Yellowstone International",16,2,0,0,1,1,0,59,0,0,27,32,4
2018-2,G4,Allegiant Air,CHA,"Chattanooga, TN: Lovell Field",16,5,2,0,0,3,0,441,366,0,5,70,10
2018-2,G4,Allegiant Air,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",66,12,5,1,5,1,0,957,644,129,137,47,24
2018-2,G4,Allegiant Air,CKB,"Clarksburg/Fairmont, WV: North Central West Virginia",9,0,0,0,0,0,1,0,0,0,0,0,0
2018-2,G4,Allegiant Air,CLE,"Cleveland, OH: Cleveland-Hopkins International",59,6,4,0,0,2,0,275,178,0,0,97,12
2018-2,G4,Allegiant Air,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",8,3,3,0,0,0,0,92,92,0,0,0,6
2018-2,G4,Allegiant Air,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",259,46,15,1,10,20,0,3257,1654,16,294,1293,92
2018-2,G4,Allegiant Air,DAY,"Dayton, OH: James M Cox/Dayton International",30,3,1,0,0,2,0,76,17,0,4,55,6
2018-2,G4,Allegiant Air,DEN,"Denver, CO: Denver International",8,5,1,1,3,0,0,196,47,15,134,0,10
2018-2,G4,Allegiant Air,DSM,"Des Moines, IA: Des Moines International",76,9,3,0,5,1,0,439,257,0,158,24,18
2018-2,G4,Allegiant Air,ELM,"Elmira/Corning, NY: Elmira/Corning Regional",28,4,2,0,0,2,0,325,90,0,2,233,8
2018-2,G4,Allegiant Air,ELP,"El Paso, TX: El Paso International",8,1,1,0,0,0,0,60,52,0,8,0,2
2018-2,G4,Allegiant Air,EUG,"Eugene, OR: Mahlon Sweet Field",32,9,1,0,4,4,0,350,122,0,82,146,18
2018-2,G4,Allegiant Air,EVV,"Evansville, IN: Evansville Regional",8,1,0,0,0,1,0,42,0,0,0,42,2
2018-2,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",30,3,0,0,2,1,0,144,3,0,99,42,6
2018-2,G4,Allegiant Air,FAR,"Fargo, ND: Hector International",53,4,3,1,0,0,0,190,162,28,0,0,8
2018-2,G4,Allegiant Air,FAT,"Fresno, CA: Fresno Yosemite International",34,10,5,0,0,5,0,800,453,0,15,332,20
2018-2,G4,Allegiant Air,FCA,"Kalispell, MT: Glacier Park International",9,4,1,0,0,2,1,223,102,0,28,93,7
2018-2,G4,Allegiant Air,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",235,61,16,0,13,30,0,5255,2062,0,548,2626,120
2018-2,G4,Allegiant Air,FNT,"Flint, MI: Bishop International",41,8,4,1,1,1,0,354,259,23,49,23,15
2018-2,G4,Allegiant Air,FSD,"Sioux Falls, SD: Joe Foss Field",60,8,5,0,1,3,0,712,624,0,12,76,17
2018-2,G4,Allegiant Air,FWA,"Fort Wayne, IN: Fort Wayne International",47,1,0,1,0,0,0,17,0,17,0,0,2
2018-2,G4,Allegiant Air,GFK,"Grand Forks, ND: Grand Forks International",21,3,1,0,0,2,0,193,124,0,0,69,6
2018-2,G4,Allegiant Air,GJT,"Grand Junction, CO: Grand Junction Regional",8,0,0,0,0,0,0,0,0,0,0,0,0
2018-2,G4,Allegiant Air,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",8,5,1,0,1,2,0,497,121,0,85,291,9
2018-2,G4,Allegiant Air,GRI,"Grand Island, NE: Central Nebraska Regional",16,3,2,0,0,1,0,93,53,0,14,26,6
